Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;71;69;44;44;65;68;47;47;66;67;45;45;66;67;46;46;66;67;46;46;65;67;46;46;66;67;49;49;66;68;45;45;65;68;46;46;66;67;46;46;66;68;46;46;66;68;46;46;66;68;47;47;60;62;47;47;60;62;47;47;60;62;47;47;60;62
Weather and new source;72;70;53;53;63;63;55;55;63;63;54;54;63;63;51;51;63;63;51;51;63;63;51;51;63;63;53;53;63;64;51;51;63;63;51;51;63;63;53;53;63;64;53;53;63;64;53;53;63;64;45;45;61;62;45;45;61;62;45;45;61;62;45;45;61;62
Expanded weather and new source;61;61;58;58;66;61;59;59;63;60;57;57;63;60;55;55;63;60;56;56;63;60;55;55;63;60;57;57;63;60;58;58;64;61;55;55;63;60;57;57;63;60;57;57;63;60;57;57;63;60;49;49;60;59;49;49;60;59;49;49;60;59;49;49;60;59
Expanded weather;67;67;43;43;60;64;46;46;62;63;42;42;63;63;43;43;63;63;42;42;63;63;43;43;63;63;40;40;61;64;42;42;60;64;43;43;63;63;40;40;61;64;40;40;61;64;40;40;61;64;41;41;55;60;41;41;55;60;41;41;55;60;41;41;55;60
Weather, new source and alka;57;53;46;46;58;55;53;53;58;54;48;48;56;52;49;49;58;54;49;49;58;54;49;49;58;54;44;44;58;55;45;45;60;57;51;51;58;54;45;45;58;55;45;45;58;55;45;45;58;55;43;43;57;57;43;43;57;57;43;43;57;57;43;43;57;57
Expanded weather, new source and alka;58;57;52;52;58;58;54;54;59;59;48;48;59;58;47;47;58;59;47;47;59;59;47;47;58;59;47;47;58;58;48;48;58;59;48;48;58;58;47;47;58;57;47;47;58;57;47;47;58;57;39;39;55;55;39;39;55;55;39;39;55;55;39;39;55;55
Expanded weather and alka;70;69;49;49;65;63;54;54;64;63;51;51;63;62;50;50;63;63;50;50;63;62;50;50;63;63;50;50;65;63;48;48;65;62;51;51;63;64;50;50;65;63;50;50;65;63;50;50;65;63;46;46;64;63;46;46;64;63;46;46;64;63;46;46;64;63
Weather and alka;74;69;51;51;63;65;51;51;64;66;53;53;64;66;54;54;64;64;53;53;64;65;54;54;64;64;51;51;63;64;50;50;63;64;55;55;64;65;51;51;63;65;51;51;63;65;51;51;63;65;43;43;58;58;43;43;58;58;43;43;58;58;43;43;58;58
Expanded all sources;1;1;5;5;0;0;5;5;0;0;6;6;0;0;6;6;0;0;5;5;0;0;6;6;0;0;5;5;0;0;5;5;0;0;6;6;0;0;5;5;0;0;5;5;0;0;5;5;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1
All sources;0;0;2;2;0;0;3;3;0;0;4;4;0;0;5;5;0;0;5;5;0;0;5;5;0;0;3;3;0;0;3;3;0;0;5;5;0;0;3;3;0;0;3;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Expanded no TV;0;0;3;3;0;0;3;3;0;0;3;3;0;0;2;2;0;0;3;3;0;0;2;2;0;0;3;3;0;0;3;3;0;0;2;2;0;0;3;3;0;0;3;3;0;0;3;3;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1
No TV;1;1;1;1;1;1;2;2;1;1;3;3;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;1;1;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1
