Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;80.34883720930233;80.48780487804879;87.47044917257683;87.47044917257683;83.76470588235294;82.86384976525821;85.89894242068155;85.89894242068155;83.52941176470588;82.74647887323944;85.83138173302108;85.83138173302108;83.88235294117648;82.74647887323944;86.23529411764706;86.23529411764706;83.88235294117648;82.74647887323944;85.91549295774648;85.91549295774648;83.88235294117648;82.74647887323944;86.23529411764706;86.23529411764706;83.88235294117648;82.74647887323944;87.6923076923077;87.6923076923077;83.88235294117648;82.86384976525821;87.79620853080569;87.79620853080569;83.76470588235294;82.86384976525821;86.13396004700353;86.13396004700353;83.88235294117648;82.74647887323944;87.47044917257683;87.47044917257683;83.88235294117648;82.86384976525821;87.47044917257683;87.47044917257683;83.88235294117648;82.86384976525821;87.47044917257683;87.47044917257683;83.88235294117648;82.86384976525821;87.78173190984579;87.78173190984579;84.68786808009423;84.03755868544602;87.78173190984579;87.78173190984579;84.68786808009423;84.03755868544602;87.78173190984579;87.78173190984579;84.68786808009423;84.03755868544602;87.78173190984579;87.78173190984579;84.68786808009423;84.03755868544602
Weather and new source;81.67053364269141;81.41695702671312;87.05882352941177;87.05882352941177;83.1199068684517;83.08051341890315;85.94847775175644;85.94847775175644;83.08051341890315;83.06074766355141;85.69753810082064;85.69753810082064;83.2943925233645;83.15789473684211;85.91549295774648;85.91549295774648;83.2943925233645;83.15789473684211;86.03286384976526;86.03286384976526;83.2943925233645;83.15789473684211;85.91549295774648;85.91549295774648;83.2943925233645;83.15789473684211;86.47058823529412;86.47058823529412;83.21678321678321;83.17757009345794;87.38207547169812;87.38207547169812;83.1199068684517;82.96382730455076;85.91549295774648;85.91549295774648;83.2943925233645;83.15789473684211;86.6902237926973;86.6902237926973;83.21678321678321;83.17757009345794;86.6902237926973;86.6902237926973;83.21678321678321;83.17757009345794;86.6902237926973;86.6902237926973;83.21678321678321;83.17757009345794;87.72136953955135;87.72136953955135;85.01170960187353;84.30913348946136;87.72136953955135;87.72136953955135;85.01170960187353;84.30913348946136;87.72136953955135;87.72136953955135;85.01170960187353;84.30913348946136;87.72136953955135;87.72136953955135;85.01170960187353;84.30913348946136
Expanded weather and new source;81.21353558926488;81.002331002331;86.33686690223793;86.33686690223793;83.21596244131455;82.86384976525821;84.97652582159625;84.97652582159625;83.19623971797884;82.74647887323944;85.6301531213192;85.6301531213192;83.31374853113984;82.74647887323944;86.08490566037736;86.08490566037736;83.31374853113984;82.74647887323944;85.86572438162544;85.86572438162544;83.31374853113984;82.74647887323944;86.08490566037736;86.08490566037736;83.31374853113984;82.74647887323944;86.65879574970484;86.65879574970484;83.21596244131455;82.86384976525821;86.43867924528303;86.43867924528303;83.21596244131455;82.86384976525821;85.84905660377359;85.84905660377359;83.31374853113984;82.74647887323944;86.54073199527745;86.54073199527745;83.21596244131455;82.86384976525821;86.54073199527745;86.54073199527745;83.21596244131455;82.86384976525821;86.54073199527745;86.54073199527745;83.21596244131455;82.86384976525821;88.09523809523809;88.09523809523809;85.1063829787234;84.31603773584906;88.09523809523809;88.09523809523809;85.1063829787234;84.31603773584906;88.09523809523809;88.09523809523809;85.1063829787234;84.31603773584906;88.09523809523809;88.09523809523809;85.1063829787234;84.31603773584906
Expanded weather;80.2570093457944;80.30480656506448;84.97041420118343;84.97041420118343;83.13679245283019;81.8075117370892;83.49056603773585;83.49056603773585;82.90094339622641;81.786133960047;84.69750889679716;84.69750889679716;83.01886792452831;81.786133960047;84.69750889679716;84.69750889679716;82.90094339622641;81.66862514688601;84.69750889679716;84.69750889679716;82.90094339622641;81.66862514688601;84.69750889679716;84.69750889679716;82.90094339622641;81.66862514688601;85.42654028436019;85.42654028436019;83.13679245283019;81.8075117370892;84.85207100591717;84.85207100591717;83.01886792452831;81.57276995305163;84.69750889679716;84.69750889679716;82.90094339622641;81.66862514688601;85.30805687203792;85.30805687203792;83.13679245283019;81.8075117370892;85.30805687203792;85.30805687203792;83.13679245283019;81.8075117370892;85.30805687203792;85.30805687203792;83.13679245283019;81.8075117370892;85.76512455516014;85.76512455516014;83.94332939787486;83.15665488810366;85.76512455516014;85.76512455516014;83.94332939787486;83.15665488810366;85.76512455516014;85.76512455516014;83.94332939787486;83.15665488810366;85.76512455516014;85.76512455516014;83.94332939787486;83.15665488810366
Weather, new source and alka;82.25058004640371;82.34610917537746;85.98130841121495;85.98130841121495;83.04297328687572;82.73045507584598;84.65116279069768;84.65116279069768;82.81068524970964;82.61376896149358;85.1808634772462;85.1808634772462;82.81068524970964;82.49708284714119;85.73099415204678;85.73099415204678;82.81068524970964;82.4766355140187;85.53092182030339;85.53092182030339;82.81068524970964;82.4766355140187;85.73099415204678;85.73099415204678;82.81068524970964;82.4766355140187;86.40093786635404;86.40093786635404;83.02325581395348;82.71028037383178;86.75263774912075;86.75263774912075;83.04297328687572;82.82710280373831;85.83138173302108;85.83138173302108;82.81068524970964;82.4766355140187;86.40093786635404;86.40093786635404;83.02325581395348;82.71028037383178;86.40093786635404;86.40093786635404;83.02325581395348;82.71028037383178;86.40093786635404;86.40093786635404;83.02325581395348;82.71028037383178;88.29787234042553;88.29787234042553;84.89461358313818;83.9390386869871;88.29787234042553;88.29787234042553;84.89461358313818;83.9390386869871;88.29787234042553;88.29787234042553;84.89461358313818;83.9390386869871;88.29787234042553;88.29787234042553;84.89461358313818;83.9390386869871
Expanded weather, new source and alka;80.9080325960419;81.58508158508158;86.23529411764706;86.23529411764706;82.66978922716628;82.80701754385966;85.66392479435959;85.66392479435959;82.43559718969556;82.4766355140187;86.10129564193169;86.10129564193169;82.43559718969556;82.69005847953217;86.3529411764706;86.3529411764706;82.43559718969556;82.69005847953217;86.15023474178403;86.15023474178403;82.43559718969556;82.69005847953217;86.3529411764706;86.3529411764706;82.43559718969556;82.69005847953217;86.6745283018868;86.6745283018868;82.55269320843091;82.80701754385966;86.92579505300353;86.92579505300353;82.66978922716628;82.80701754385966;86.3529411764706;86.3529411764706;82.43559718969556;82.69005847953217;86.79245283018868;86.79245283018868;82.55269320843091;82.80701754385966;86.79245283018868;86.79245283018868;82.55269320843091;82.80701754385966;86.79245283018868;86.79245283018868;82.55269320843091;82.80701754385966;88.10939357907253;88.10939357907253;84.29073856975381;83.8407494145199;88.10939357907253;88.10939357907253;84.29073856975381;83.8407494145199;88.10939357907253;88.10939357907253;84.29073856975381;83.8407494145199;88.10939357907253;88.10939357907253;84.29073856975381;83.8407494145199
Expanded weather and alka;81.25;80.94117647058823;87.38095238095238;87.38095238095238;83.07873090481786;82.8032979976443;86.05200945626478;86.05200945626478;82.96122209165688;82.8032979976443;86.69833729216153;86.69833729216153;83.31374853113984;82.92108362779742;87.06998813760379;87.06998813760379;83.43125734430082;83.03886925795054;87.17339667458432;87.17339667458432;83.43125734430082;83.03886925795054;87.06998813760379;87.06998813760379;83.43125734430082;83.03886925795054;87.72348033373063;87.72348033373063;83.43125734430082;82.92108362779742;87.73809523809524;87.73809523809524;83.19623971797884;82.92108362779742;86.95136417556346;86.95136417556346;83.43125734430082;83.03886925795054;87.72348033373063;87.72348033373063;83.43125734430082;82.8032979976443;87.72348033373063;87.72348033373063;83.43125734430082;82.8032979976443;87.72348033373063;87.72348033373063;83.43125734430082;82.8032979976443;88.1376037959668;88.1376037959668;85.0412249705536;84.09893992932862;88.1376037959668;88.1376037959668;85.0412249705536;84.09893992932862;88.1376037959668;88.1376037959668;85.0412249705536;84.09893992932862;88.1376037959668;88.1376037959668;85.0412249705536;84.09893992932862
Weather and alka;81.38173302107728;81.49882903981265;86.7612293144208;86.7612293144208;83.41176470588235;83.21596244131455;85.41176470588235;85.41176470588235;83.05882352941177;83.09859154929578;85.73113207547169;85.73113207547169;83.29411764705881;83.21596244131455;86.6902237926973;86.6902237926973;83.31374853113984;83.33333333333334;86.8080094228504;86.8080094228504;83.31374853113984;83.33333333333334;86.6902237926973;86.6902237926973;83.31374853113984;83.33333333333334;88.2701421800948;88.2701421800948;83.43125734430082;83.21596244131455;88.37485172004746;88.37485172004746;83.43125734430082;83.21596244131455;86.79245283018868;86.79245283018868;83.31374853113984;83.33333333333334;88.16568047337277;88.16568047337277;83.43125734430082;83.21596244131455;88.16568047337277;88.16568047337277;83.43125734430082;83.21596244131455;88.16568047337277;88.16568047337277;83.43125734430082;83.21596244131455;88.95486935866982;88.95486935866982;85.79881656804734;84.88783943329398;88.95486935866982;88.95486935866982;85.79881656804734;84.88783943329398;88.95486935866982;88.95486935866982;85.79881656804734;84.88783943329398;88.95486935866982;88.95486935866982;85.79881656804734;84.88783943329398
Expanded all sources;88.46153846153845;88.46153846153845;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;77.5;77.5;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;78.2051282051282;78.2051282051282;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;79.48717948717949;79.48717948717949;92.20779220779221;92.20779220779221;100.0;100.0;98.64864864864865;96.0;100.0;100.0;98.64864864864865;96.0;100.0;100.0;98.64864864864865;96.0;100.0;100.0;98.64864864864865;96.0
All sources;90.9090909090909;90.9090909090909;86.8421052631579;86.8421052631579;94.73684210526315;93.42105263157895;88.1578947368421;88.1578947368421;94.73684210526315;93.42105263157895;86.8421052631579;86.8421052631579;94.73684210526315;93.42105263157895;86.8421052631579;86.8421052631579;94.73684210526315;93.42105263157895;88.1578947368421;88.1578947368421;94.73684210526315;93.42105263157895;86.8421052631579;86.8421052631579;94.73684210526315;93.42105263157895;85.52631578947368;85.52631578947368;94.73684210526315;93.42105263157895;86.8421052631579;86.8421052631579;94.73684210526315;93.42105263157895;86.8421052631579;86.8421052631579;94.73684210526315;93.42105263157895;85.52631578947368;85.52631578947368;94.73684210526315;93.42105263157895;85.52631578947368;85.52631578947368;94.73684210526315;93.42105263157895;85.52631578947368;85.52631578947368;94.73684210526315;93.42105263157895;100.0;100.0;97.33333333333334;94.73684210526315;100.0;100.0;97.33333333333334;94.73684210526315;100.0;100.0;97.33333333333334;94.73684210526315;100.0;100.0;97.33333333333334;94.73684210526315
Expanded no TV;89.47368421052632;89.47368421052632;83.11688311688312;83.11688311688312;89.6103896103896;89.6103896103896;84.4155844155844;84.4155844155844;89.6103896103896;89.6103896103896;84.4155844155844;84.4155844155844;89.6103896103896;89.6103896103896;84.4155844155844;84.4155844155844;89.6103896103896;89.6103896103896;84.4155844155844;84.4155844155844;89.6103896103896;89.6103896103896;84.4155844155844;84.4155844155844;89.6103896103896;89.6103896103896;83.11688311688312;83.11688311688312;89.6103896103896;89.6103896103896;83.11688311688312;83.11688311688312;89.6103896103896;89.6103896103896;84.4155844155844;84.4155844155844;89.6103896103896;89.6103896103896;83.11688311688312;83.11688311688312;89.6103896103896;89.6103896103896;83.11688311688312;83.11688311688312;89.6103896103896;89.6103896103896;83.11688311688312;83.11688311688312;89.6103896103896;89.6103896103896;100.0;100.0;97.33333333333334;96.05263157894737;100.0;100.0;97.33333333333334;96.05263157894737;100.0;100.0;97.33333333333334;96.05263157894737;100.0;100.0;97.33333333333334;96.05263157894737
No TV;85.8974358974359;85.8974358974359;83.11688311688312;83.11688311688312;86.07594936708861;86.07594936708861;83.33333333333334;83.33333333333334;86.07594936708861;86.07594936708861;82.05128205128204;82.05128205128204;86.07594936708861;86.07594936708861;83.33333333333334;83.33333333333334;86.07594936708861;86.07594936708861;83.33333333333334;83.33333333333334;86.07594936708861;86.07594936708861;83.33333333333334;83.33333333333334;86.07594936708861;86.07594936708861;83.11688311688312;83.11688311688312;86.07594936708861;86.07594936708861;83.11688311688312;83.11688311688312;86.07594936708861;86.07594936708861;83.33333333333334;83.33333333333334;86.07594936708861;86.07594936708861;83.11688311688312;83.11688311688312;86.07594936708861;86.07594936708861;83.11688311688312;83.11688311688312;86.07594936708861;86.07594936708861;83.11688311688312;83.11688311688312;86.07594936708861;86.07594936708861;100.0;100.0;97.33333333333334;94.73684210526315;100.0;100.0;97.33333333333334;94.73684210526315;100.0;100.0;97.33333333333334;94.73684210526315;100.0;100.0;97.33333333333334;94.73684210526315
