Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;0.6497022198159177;0.7054992764109985;0.2410085279940675;0.2410085279940675;0.22275849266753298;0.20408163265306123;0.22251066196921934;0.22251066196921934;0.22271714922048996;0.24105321713332098;0.22251066196921934;0.22251066196921934;0.20427112349117918;0.20404377666481174;0.22234574763757642;0.22234574763757642;0.20419528494523853;0.20396810680511773;0.2037791774731382;0.2037791774731382;0.22288261515601782;0.1855287569573284;0.22234574763757642;0.22234574763757642;0.20419528494523853;0.20396810680511773;0.24105321713332098;0.24105321713332098;0.22284122562674097;0.20415738678544915;0.25954764553207266;0.25954764553207266;0.2226758211170904;0.20404377666481174;0.22234574763757642;0.22234574763757642;0.20427112349117918;0.20404377666481174;0.24105321713332098;0.24105321713332098;0.2229240200631618;0.20423319717786853;0.24105321713332098;0.24105321713332098;0.2229240200631618;0.20423319717786853;0.24105321713332098;0.24105321713332098;0.2229240200631618;0.20423319717786853;0.18532246108228317;0.18532246108228317;0.20419528494523853;0.20434701839123168;0.18532246108228317;0.18532246108228317;0.20419528494523853;0.20434701839123168;0.18532246108228317;0.18532246108228317;0.20419528494523853;0.20434701839123168;0.18532246108228317;0.18532246108228317;0.20419528494523853;0.20434701839123168
Weather and new source;0.7198128486593486;0.8115419296663661;0.1854943424225561;0.1854943424225561;0.16669753658084832;0.2037037037037037;0.07428040854224698;0.07428040854224698;0.1666358081836697;0.12970168612191957;0.12991833704528583;0.12991833704528583;0.16666666666666669;0.12970168612191957;0.12989422898496938;0.12989422898496938;0.1666358081836697;0.12967765839199705;0.12987012987012986;0.12987012987012986;0.16669753658084832;0.129653639562882;0.12989422898496938;0.12989422898496938;0.1666358081836697;0.12967765839199705;0.14847809948032664;0.14847809948032664;0.1851851851851852;0.20366598778004072;0.1854943424225561;0.1854943424225561;0.16666666666666669;0.20366598778004072;0.12991833704528583;0.12991833704528583;0.16666666666666669;0.12970168612191957;0.1299424540560609;0.1299424540560609;0.18521948508983144;0.2037037037037037;0.1299424540560609;0.1299424540560609;0.18521948508983144;0.2037037037037037;0.1299424540560609;0.1299424540560609;0.18521948508983144;0.2037037037037037;0.14825796886582654;0.14825796886582654;0.18539117538005193;0.1111934766493699;0.14825796886582654;0.14825796886582654;0.18539117538005193;0.1111934766493699;0.14825796886582654;0.14825796886582654;0.18539117538005193;0.1111934766493699;0.14825796886582654;0.14825796886582654;0.18539117538005193;0.1111934766493699
Expanded weather and new source;0.8976660682226212;0.8456279237135661;0.22209883398112162;0.22209883398112162;0.25897151313355526;0.27762354247640203;0.2964609968501019;0.2964609968501019;0.2591153063113085;0.2591153063113085;0.22201665124884368;0.22201665124884368;0.2776749352091818;0.2590673575129534;0.25897151313355526;0.25897151313355526;0.27762354247640203;0.2590194264569843;0.2590194264569843;0.2590194264569843;0.2776749352091818;0.2591153063113085;0.25897151313355526;0.25897151313355526;0.27762354247640203;0.2590194264569843;0.22189349112426035;0.22189349112426035;0.27746947835738067;0.2961317786414955;0.24060707014621507;0.24060707014621507;0.25892361753282783;0.27757216876387864;0.2590194264569843;0.2590194264569843;0.2776749352091818;0.2590673575129534;0.2219345293138524;0.2219345293138524;0.27752081406105455;0.2961865975564606;0.2219345293138524;0.2219345293138524;0.27752081406105455;0.2961865975564606;0.2219345293138524;0.2219345293138524;0.27752081406105455;0.2961865975564606;0.1664816870144284;0.1664816870144284;0.27736686390532544;0.25940337224383914;0.1664816870144284;0.1664816870144284;0.27736686390532544;0.25940337224383914;0.1664816870144284;0.1664816870144284;0.27736686390532544;0.25940337224383914;0.1664816870144284;0.1664816870144284;0.27736686390532544;0.25940337224383914
Expanded weather;0.4503693028283192;0.5043227665706052;0.14801110083256244;0.14801110083256244;0.18532246108228317;0.184945441094877;0.1483404413128129;0.1483404413128129;0.18539117538005193;0.18484288354898337;0.09269558769002596;0.09269558769002596;0.16685205784204674;0.1662971175166297;0.07414272474513438;0.07414272474513438;0.16682113067655235;0.1662663957140218;0.07417022065640645;0.07417022065640645;0.1668829964769145;0.14784697837737942;0.07414272474513438;0.07414272474513438;0.16682113067655235;0.1662663957140218;0.09257544899092761;0.09257544899092761;0.14820303816228234;0.16635859519408502;0.12967765839199705;0.12967765839199705;0.18528812303131367;0.1849112426035503;0.07415647015202076;0.07415647015202076;0.16685205784204674;0.1662971175166297;0.09257544899092761;0.09257544899092761;0.14823049842505095;0.16638935108153077;0.09257544899092761;0.09257544899092761;0.14823049842505095;0.16638935108153077;0.09257544899092761;0.09257544899092761;0.14823049842505095;0.16638935108153077;0.14823049842505095;0.14823049842505095;0.18542555164101612;0.18511662347278787;0.14823049842505095;0.14823049842505095;0.18542555164101612;0.18511662347278787;0.14823049842505095;0.14823049842505095;0.18542555164101612;0.18511662347278787;0.14823049842505095;0.14823049842505095;0.18542555164101612;0.18511662347278787
Weather, new source and alka;0.7049891540130151;0.7601809954751132;0.1486712506968965;0.1486712506968965;0.2223045572434235;0.1851851851851852;0.13020833333333331;0.13020833333333331;0.2038169353344451;0.2039302929180571;0.22325581395348837;0.22325581395348837;0.22242817423540315;0.20389249304911955;0.14886490509862302;0.14886490509862302;0.22234574763757642;0.2038169353344451;0.14886490509862302;0.14886490509862302;0.22242817423540315;0.20389249304911955;0.14886490509862302;0.14886490509862302;0.22234574763757642;0.2038169353344451;0.1859773107680863;0.1859427296392711;0.24082993701370878;0.2037414335988146;0.18587360594795538;0.1858390633711206;0.2222222222222222;0.18511662347278787;0.2418154761904762;0.2418154761904762;0.22242817423540315;0.20389249304911955;0.18590816136828406;0.18587360594795538;0.24091919940696813;0.2038169353344451;0.18590816136828406;0.18587360594795538;0.24091919940696813;0.2038169353344451;0.18590816136828406;0.18587360594795538;0.24091919940696813;0.2038169353344451;0.16744186046511628;0.16744186046511628;0.1480932987782303;0.12982195845697328;0.16744186046511628;0.16744186046511628;0.1480932987782303;0.12982195845697328;0.16744186046511628;0.16744186046511628;0.1480932987782303;0.12982195845697328;0.16744186046511628;0.16744186046511628;0.1480932987782303;0.12982195845697328
Expanded weather, new source and alka;0.8109569291764281;0.8645533141210375;0.11144130757800891;0.11144130757800891;0.259307279125764;0.25892361753282783;0.1301841175376604;0.1301841175376604;0.25969207939157857;0.2590673575129534;0.14875418371141688;0.14875418371141688;0.25978845796993877;0.22213994816734545;0.16731734523145567;0.16731734523145567;0.2597402597402597;0.22209883398112162;0.167348456675344;0.167348456675344;0.25983667409057165;0.22218107757822625;0.16731734523145567;0.16731734523145567;0.2597402597402597;0.22209883398112162;0.1300631735414344;0.1300631735414344;0.27793218454697055;0.24051803885291398;0.11154489682097045;0.11154489682097045;0.25925925925925924;0.25887573964497046;0.167348456675344;0.167348456675344;0.25978845796993877;0.22213994816734545;0.1300631735414344;0.1300631735414344;0.2779836916234248;0.24056254626202814;0.1300631735414344;0.1300631735414344;0.2779836916234248;0.24056254626202814;0.1300631735414344;0.1300631735414344;0.2779836916234248;0.24056254626202814;0.16731734523145567;0.16731734523145567;0.2223045572434235;0.2408745599407078;0.16731734523145567;0.16731734523145567;0.2223045572434235;0.2408745599407078;0.16731734523145567;0.16731734523145567;0.2223045572434235;0.2408745599407078;0.16731734523145567;0.16731734523145567;0.2223045572434235;0.2408745599407078
Expanded weather and alka;0.6845613402990453;0.6851785070320953;0.2416806097787693;0.2416806097787693;0.20389249304911955;0.2965159377316531;0.20476545048399106;0.20476545048399106;0.2038169353344451;0.2964609968501019;0.20472734040573237;0.18615040953090098;0.2038169353344451;0.3150481838398814;0.1675665611617948;0.14897579143389197;0.2037414335988146;0.3149314560948499;0.1490035388340473;0.1490035388340473;0.2038547071905115;0.2965159377316531;0.1675665611617948;0.14897579143389197;0.2037414335988146;0.3149314560948499;0.18604651162790697;0.18604651162790697;0.22246941045606228;0.31498980915323327;0.2418154761904762;0.2418154761904762;0.2038169353344451;0.29640607632456467;0.20472734040573237;0.18615040953090098;0.2038169353344451;0.3150481838398814;0.18608113137327875;0.18608113137327875;0.22255192878338279;0.31510658016682114;0.18608113137327875;0.18608113137327875;0.22255192878338279;0.31510658016682114;0.18608113137327875;0.18608113137327875;0.22255192878338279;0.31510658016682114;0.14883720930232558;0.1488095238095238;0.2039302929180571;0.24096385542168677;0.14883720930232558;0.1488095238095238;0.2039302929180571;0.24096385542168677;0.14883720930232558;0.1488095238095238;0.2039302929180571;0.24096385542168677;0.14883720930232558;0.1488095238095238;0.2039302929180571;0.24096385542168677
Weather and alka;0.668714982830291;0.777295733911786;0.22234574763757642;0.22234574763757642;0.2590673575129534;0.31510658016682114;0.2037791774731382;0.2037791774731382;0.2776749352091818;0.3336422613531047;0.2222222222222222;0.2222222222222222;0.2778806965542794;0.3150481838398814;0.22234574763757642;0.22234574763757642;0.2777777777777778;0.3149314560948499;0.2222222222222222;0.2222222222222222;0.2778806965542794;0.31510658016682114;0.22234574763757642;0.22234574763757642;0.2777777777777778;0.3149314560948499;0.2593553167839941;0.2593553167839941;0.24078533061678087;0.29640607632456467;0.2410085279940675;0.2410085279940675;0.25897151313355526;0.31498980915323327;0.2223869532987398;0.2223869532987398;0.2778806965542794;0.3150481838398814;0.2593553167839941;0.2593553167839941;0.2408745599407078;0.2965708989805375;0.2593553167839941;0.2593553167839941;0.2408745599407078;0.2965708989805375;0.2593553167839941;0.2593553167839941;0.2408745599407078;0.2965708989805375;0.2591153063113085;0.2591153063113085;0.22209883398112162;0.29640607632456467;0.2591153063113085;0.2591153063113085;0.22209883398112162;0.29640607632456467;0.2591153063113085;0.2591153063113085;0.22209883398112162;0.29640607632456467;0.2591153063113085;0.2591153063113085;0.22209883398112162;0.29640607632456467
Expanded all sources;1.1909058101768315;1.352082206598161;0.2029894814541428;0.2029894814541428;0.2776749352091818;0.2955301071296638;0.20291459140380003;0.20291459140380003;0.2961865975564606;0.27741816164231553;0.12910365178900773;0.12910365178900773;0.3331482509716824;0.29569395675475885;0.14762871378483114;0.14762871378483114;0.3330249768732655;0.2955847034915943;0.14760147601476015;0.14760147601476015;0.3331482509716824;0.2955847034915943;0.14762871378483114;0.14762871378483114;0.3330249768732655;0.2955847034915943;0.16583747927031509;0.18422991893883567;0.3330249768732655;0.29536643898836995;0.18453589223103894;0.18453589223103894;0.27757216876387864;0.29542097488921715;0.16605166051660517;0.16605166051660517;0.3331482509716824;0.29569395675475885;0.16583747927031509;0.18422991893883567;0.3331482509716824;0.2954755309325946;0.16583747927031509;0.18422991893883567;0.3331482509716824;0.2954755309325946;0.16583747927031509;0.18422991893883567;0.3331482509716824;0.2954755309325946;0.16599040944300997;0.16599040944300997;0.2962962962962963;0.3700962250185048;0.16599040944300997;0.16599040944300997;0.2962962962962963;0.3700962250185048;0.16599040944300997;0.16599040944300997;0.2962962962962963;0.3700962250185048;0.16599040944300997;0.16599040944300997;0.2962962962962963;0.3700962250185048
All sources;1.3883880274071403;1.4644729705297415;0.20430906389301637;0.20430906389301637;0.24051803885291398;0.3331482509716824;0.22304832713754646;0.22304832713754646;0.2591153063113085;0.33320992225101814;0.2788622420524261;0.2788622420524261;0.27752081406105455;0.33320992225101814;0.2417705039985122;0.2417705039985122;0.27741816164231553;0.33308660251665434;0.22325581395348837;0.22325581395348837;0.27757216876387864;0.3331482509716824;0.2417705039985122;0.2417705039985122;0.27741816164231553;0.33308660251665434;0.18566654288897141;0.18566654288897141;0.25887573964497046;0.33308660251665434;0.1855976243504083;0.1855976243504083;0.2404290734233401;0.3330249768732655;0.22317277292170354;0.22317277292170354;0.27752081406105455;0.33320992225101814;0.14847809948032664;0.14847809948032664;0.25897151313355526;0.33320992225101814;0.14847809948032664;0.14847809948032664;0.25897151313355526;0.33320992225101814;0.14847809948032664;0.14847809948032664;0.25897151313355526;0.33320992225101814;0.18580453363062058;0.1857700167193015;0.3145817912657291;0.35185185185185186;0.18580453363062058;0.1857700167193015;0.3145817912657291;0.35185185185185186;0.18580453363062058;0.1857700167193015;0.3145817912657291;0.35185185185185186;0.18580453363062058;0.1857700167193015;0.3145817912657291;0.35185185185185186
