Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;1986;2012;837;837;946;969;842;842;947;967;840;840;932;963;840;840;936;967;837;837;936;963;840;840;936;967;838;838;943;966;838;838;950;972;839;839;932;963;837;837;939;962;837;837;939;962;837;837;939;962;828;828;944;954;828;828;944;954;828;828;944;954;828;828;944;954
Weather and new source;2036;2062;839;839;973;995;841;841;986;994;844;844;978;985;850;850;980;987;852;852;977;984;850;850;980;987;844;844;973;990;839;839;975;997;846;846;978;985;844;844;971;988;844;844;971;988;844;844;971;988;849;850;975;979;849;850;975;979;849;850;975;979;849;850;975;979
Expanded weather and new source;2049;2062;837;837;967;992;839;839;974;989;845;845;975;989;845;845;975;991;847;847;972;986;845;845;975;991;842;842;973;996;839;839;969;994;843;843;973;989;842;842;971;994;842;842;971;994;842;842;971;994;848;849;936;945;848;849;936;945;848;849;936;945;848;849;936;945
Expanded weather;2029;2057;830;830;987;1003;818;818;992;1007;822;822;979;1002;823;821;981;1004;824;824;977;997;823;821;981;1004;827;827;979;1003;828;828;989;1005;821;819;979;1002;826;826;977;1001;826;826;977;1001;826;826;977;1001;830;830;982;989;830;830;982;989;830;830;982;989;830;830;982;989
Weather, new source and alka;2022;2048;828;828;979;1003;829;829;987;999;839;839;985;995;833;833;989;999;836;836;986;994;833;833;989;999;827;822;988;996;830;825;983;1007;838;838;985;995;829;824;984;992;829;824;984;992;829;824;984;992;815;815;963;967;815;815;963;967;815;815;963;967;815;815;963;967
Expanded weather, new source and alka;2053;2080;813;813;931;961;818;818;939;961;824;824;932;954;829;829;933;955;830;830;929;951;829;829;933;955;819;819;929;957;812;812;933;963;826;826;931;953;819;819;927;955;819;819;927;955;819;819;927;955;826;826;926;934;826;826;926;934;826;826;926;934;826;826;926;934
Expanded weather and alka;2002;2018;817;817;914;939;801;801;921;937;804;799;911;926;806;801;915;930;802;799;910;923;806;801;915;930;813;813;909;933;813;813;918;943;803;798;911;926;813;813;905;929;813;813;905;929;813;813;905;929;809;810;908;917;809;810;908;917;809;810;908;917;809;810;908;917
Weather and alka;1997;2019;829;829;937;957;837;837;937;957;832;832;929;946;836;836;933;950;836;836;929;944;836;836;933;950;827;827;932;949;827;827;941;961;833;833;929;946;828;828;928;944;828;828;928;944;828;828;928;944;839;839;925;941;839;839;925;941;839;839;925;941;839;839;925;941
Expanded all sources;2041;2072;836;836;932;956;853;853;944;956;848;848;937;957;846;846;941;961;848;848;937;959;846;846;941;961;846;845;943;963;835;835;936;962;846;846;937;957;846;845;939;959;846;845;939;959;846;845;939;959;854;854;926;947;854;854;926;947;854;854;926;947;854;854;926;947
All sources;2073;2107;799;799;924;960;803;803;927;958;805;805;927;959;804;804;930;963;804;804;926;959;804;804;930;963;806;806;929;965;797;797;928;966;804;804;926;959;804;804;925;961;804;804;925;961;804;804;925;961;809;809;921;954;809;809;921;954;809;809;921;954;809;809;921;954
Expanded no TV;2040;2041;812;813;986;1005;823;823;988;1004;823;820;986;1004;829;826;990;1008;833;830;987;1004;829;826;990;1008;822;823;986;1007;814;815;990;1009;827;824;986;1004;822;823;982;1003;822;823;982;1003;822;823;982;1003;838;839;975;983;838;839;975;983;838;839;975;983;838;839;975;983
No TV;2047;2058;832;832;996;1007;821;818;996;1012;823;823;989;1013;827;827;993;1017;829;829;988;1007;827;827;993;1017;833;833;987;1015;833;833;1000;1011;823;823;989;1013;833;833;983;1011;833;833;983;1011;833;833;983;1011;831;833;987;1002;831;833;987;1002;831;833;987;1002;831;833;987;1002
