Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;3.007518796992481;3.007518796992481;0.0;0.0;0.5141388174807198;0.7692307692307693;0.0;0.0;0.7692307692307693;0.7692307692307693;0.0;0.0;0.7692307692307693;0.7692307692307693;0.0;0.0;0.7692307692307693;0.7692307692307693;0.0;0.0;0.7692307692307693;0.7692307692307693;0.0;0.0;0.7692307692307693;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.0;0.0;0.7692307692307693;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693
Weather and new source;2.763819095477387;3.007518796992481;0.0;0.0;1.2755102040816326;1.0230179028132993;0.25773195876288657;0.25773195876288657;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.0;0.0;1.2755102040816326;1.0230179028132993;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.0230179028132993;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.0230179028132993;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.0230179028132993;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.0230179028132993
Expanded weather and new source;3.007518796992481;3.970223325062035;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.2755102040816326
Expanded weather;2.518891687657431;2.763819095477387;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;1.0230179028132993;1.0230179028132993;1.2755102040816326;1.2755102040816326;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.7766497461928936;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.7766497461928936;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.7766497461928936;0.25773195876288657;0.25773195876288657;1.0230179028132993;1.7766497461928936
Weather, new source and alka;2.518891687657431;2.763819095477387;0.0;0.0;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.0;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.0;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.0;0.0;0.5141388174807198;0.7692307692307693;0.0;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.0;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.0;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.7692307692307693
Expanded weather, new source and alka;2.0253164556962027;3.25;0.25773195876288657;0.25773195876288657;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.25773195876288657;0.25773195876288657;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.2755102040816326;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.2755102040816326;1.5267175572519083
Expanded weather and alka;1.5267175572519083;1.7766497461928936;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.7692307692307693;0.7692307692307693;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.5141388174807198;0.5141388174807198;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657;0.25773195876288657
Weather and alka;2.763819095477387;2.272727272727273;0.7692307692307693;0.7692307692307693;0.7692307692307693;1.0230179028132993;1.0230179028132993;1.0230179028132993;0.7692307692307693;1.0230179028132993;1.0230179028132993;1.0230179028132993;0.7692307692307693;1.0230179028132993;0.5141388174807198;0.5141388174807198;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.5141388174807198;0.5141388174807198;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.5141388174807198;0.5141388174807198;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993;0.25773195876288657;0.25773195876288657;0.7692307692307693;1.0230179028132993
Expanded all sources;3.731343283582089;3.731343283582089;1.0230179028132993;1.0230179028132993;1.7766497461928936;2.518891687657431;1.5267175572519083;1.5267175572519083;1.7766497461928936;2.518891687657431;1.7766497461928936;1.7766497461928936;1.7766497461928936;2.518891687657431;1.7766497461928936;1.7766497461928936;1.7766497461928936;2.518891687657431;1.7766497461928936;1.7766497461928936;1.7766497461928936;2.518891687657431;1.7766497461928936;1.7766497461928936;1.7766497461928936;2.518891687657431;1.0230179028132993;1.0230179028132993;1.7766497461928936;2.518891687657431;1.0230179028132993;1.0230179028132993;1.7766497461928936;2.518891687657431;1.2755102040816326;1.2755102040816326;1.7766497461928936;2.518891687657431;1.0230179028132993;1.0230179028132993;1.7766497461928936;2.518891687657431;1.0230179028132993;1.0230179028132993;1.7766497461928936;2.518891687657431;1.0230179028132993;1.0230179028132993;1.7766497461928936;2.518891687657431;0.5141388174807198;0.5141388174807198;1.7766497461928936;2.518891687657431;0.5141388174807198;0.5141388174807198;1.7766497461928936;2.518891687657431;0.5141388174807198;0.5141388174807198;1.7766497461928936;2.518891687657431;0.5141388174807198;0.5141388174807198;1.7766497461928936;2.518891687657431
All sources;4.207920792079208;3.970223325062035;0.0;0.0;1.7766497461928936;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.5267175572519083;1.7766497461928936;0.25773195876288657;0.25773195876288657;1.5267175572519083;1.7766497461928936;0.5141388174807198;0.5141388174807198;1.5267175572519083;1.7766497461928936;0.25773195876288657;0.25773195876288657;1.5267175572519083;1.7766497461928936;0.5141388174807198;0.5141388174807198;1.5267175572519083;1.7766497461928936;0.5141388174807198;0.5141388174807198;1.7766497461928936;1.5267175572519083;0.7692307692307693;0.7692307692307693;1.7766497461928936;1.5267175572519083;0.5141388174807198;0.5141388174807198;1.5267175572519083;1.7766497461928936;0.7692307692307693;0.7692307692307693;1.7766497461928936;1.5267175572519083;0.7692307692307693;0.7692307692307693;1.7766497461928936;1.5267175572519083;0.7692307692307693;0.7692307692307693;1.7766497461928936;1.5267175572519083;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.7766497461928936;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.7766497461928936;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.7766497461928936;0.7692307692307693;0.7692307692307693;1.2755102040816326;1.7766497461928936
