Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;1469;1481;1570;1570;1563;1558;1568;1568;1564;1560;1569;1569;1564;1559;1569;1569;1564;1559;1569;1569;1564;1559;1569;1569;1564;1559;1569;1569;1563;1558;1570;1570;1563;1558;1569;1569;1564;1559;1570;1570;1563;1558;1570;1570;1563;1558;1570;1570;1563;1558;1568;1568;1563;1559;1568;1568;1563;1559;1568;1568;1563;1559;1568;1568;1563;1559
Weather and new source;1484;1493;1572;1572;1569;1566;1571;1571;1567;1565;1572;1572;1567;1566;1572;1572;1567;1566;1572;1572;1567;1566;1572;1572;1567;1566;1572;1572;1569;1567;1572;1572;1569;1566;1572;1572;1567;1566;1572;1572;1569;1567;1572;1572;1569;1567;1572;1572;1569;1567;1573;1573;1569;1568;1573;1573;1569;1568;1573;1573;1569;1568;1573;1573;1569;1568
Expanded weather and new source;1472;1477;1570;1570;1568;1566;1572;1572;1568;1566;1571;1571;1568;1566;1571;1571;1568;1566;1571;1571;1568;1566;1571;1571;1568;1566;1573;1573;1568;1565;1569;1569;1568;1566;1571;1571;1568;1566;1571;1571;1568;1565;1571;1571;1568;1565;1571;1571;1568;1565;1569;1569;1567;1568;1569;1569;1567;1568;1569;1569;1567;1568;1569;1569;1567;1568
Expanded weather;1475;1482;1575;1575;1564;1563;1573;1573;1563;1562;1574;1574;1565;1564;1574;1574;1565;1564;1574;1574;1565;1564;1574;1574;1565;1564;1573;1573;1567;1565;1575;1575;1564;1563;1574;1574;1565;1564;1573;1573;1567;1565;1573;1573;1567;1565;1573;1573;1567;1565;1573;1573;1567;1562;1573;1573;1567;1562;1573;1573;1567;1562;1573;1573;1567;1562
Weather, new source and alka;1472;1483;1568;1568;1566;1561;1572;1572;1566;1563;1567;1567;1565;1563;1569;1569;1565;1563;1568;1568;1565;1563;1569;1569;1565;1563;1569;1572;1565;1563;1567;1570;1566;1561;1568;1568;1565;1563;1569;1572;1565;1563;1569;1572;1565;1563;1569;1572;1565;1563;1570;1570;1567;1565;1570;1570;1567;1565;1570;1570;1567;1565;1570;1570;1567;1565
Expanded weather, new source and alka;1476;1487;1573;1573;1562;1558;1571;1571;1562;1558;1573;1573;1562;1558;1573;1573;1562;1558;1573;1573;1562;1558;1573;1573;1562;1558;1572;1572;1562;1558;1573;1573;1562;1558;1573;1573;1562;1558;1572;1572;1562;1558;1572;1572;1562;1558;1572;1572;1562;1558;1573;1573;1561;1559;1573;1573;1561;1559;1573;1573;1561;1559;1573;1573;1561;1559
Expanded weather and alka;1484;1490;1569;1569;1563;1561;1572;1572;1562;1561;1571;1573;1563;1562;1570;1572;1563;1562;1572;1572;1563;1562;1570;1572;1563;1562;1570;1570;1564;1562;1570;1570;1563;1561;1570;1572;1563;1562;1570;1570;1564;1562;1570;1570;1564;1562;1570;1570;1564;1562;1569;1569;1564;1562;1569;1569;1564;1562;1569;1569;1564;1562;1569;1569;1564;1562
Weather and alka;1484;1484;1568;1568;1562;1558;1566;1566;1561;1558;1566;1566;1561;1559;1566;1566;1561;1559;1566;1566;1561;1559;1566;1566;1561;1559;1568;1568;1562;1559;1568;1568;1562;1558;1566;1566;1561;1559;1568;1568;1562;1559;1568;1568;1562;1559;1568;1568;1562;1559;1571;1571;1561;1560;1571;1571;1561;1560;1571;1571;1561;1560;1571;1571;1561;1560
Expanded all sources;1479;1479;1568;1568;1563;1564;1571;1571;1565;1563;1570;1571;1566;1564;1570;1570;1566;1564;1570;1570;1566;1564;1570;1570;1566;1564;1571;1571;1564;1564;1569;1569;1563;1564;1571;1571;1566;1564;1571;1571;1564;1564;1571;1571;1564;1564;1571;1571;1564;1564;1573;1573;1566;1564;1573;1573;1566;1564;1573;1573;1566;1564;1573;1573;1566;1564
All sources;1470;1478;1573;1573;1569;1565;1573;1573;1569;1565;1573;1573;1569;1564;1574;1574;1569;1564;1573;1573;1569;1564;1574;1574;1569;1564;1573;1573;1569;1565;1574;1574;1569;1565;1574;1574;1569;1564;1574;1574;1569;1565;1574;1574;1569;1565;1574;1574;1569;1565;1568;1568;1568;1566;1568;1568;1568;1566;1568;1568;1568;1566;1568;1568;1568;1566
