Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;1.144578313253012;1.177536231884058;0.34087387666563373;0.34087387666563373;0.6193868070610096;0.7434944237918215;0.40260142458965625;0.40260142458965625;0.5884174667079591;0.6811145510835914;0.40310077519379844;0.40310077519379844;0.5884174667079591;0.6499535747446611;0.4028509451502944;0.4028509451502944;0.5884174667079591;0.6499535747446611;0.402975821450713;0.402975821450713;0.5884174667079591;0.6499535747446611;0.4028509451502944;0.4028509451502944;0.5884174667079591;0.6499535747446611;0.37209302325581395;0.37209302325581395;0.6193868070610096;0.6815365551425031;0.37186241090796407;0.37186241090796407;0.6193868070610096;0.7434944237918215;0.4028509451502944;0.4028509451502944;0.5884174667079591;0.6499535747446611;0.34108527131782945;0.34108527131782945;0.6193868070610096;0.6815365551425031;0.34108527131782945;0.34108527131782945;0.6193868070610096;0.6815365551425031;0.34108527131782945;0.34108527131782945;0.6193868070610096;0.6815365551425031;0.4032258064516129;0.4342431761786601;0.5885997521685253;0.7125154894671624;0.4032258064516129;0.4342431761786601;0.5885997521685253;0.7125154894671624;0.4032258064516129;0.4342431761786601;0.5885997521685253;0.7125154894671624;0.4032258064516129;0.4342431761786601;0.5885997521685253;0.7125154894671624
Weather and new source;0.9635651912074676;0.9342977697408076;0.34076827757125155;0.34076827757125155;0.6813254877671105;0.6806930693069307;0.40222772277227725;0.40222772277227725;0.7111935683364254;0.6800618238021638;0.3096934035305048;0.3096934035305048;0.7114135477884318;0.7116336633663367;0.30959752321981426;0.30959752321981426;0.7114135477884318;0.7116336633663367;0.3096934035305048;0.3096934035305048;0.7114135477884318;0.7116336633663367;0.30959752321981426;0.30959752321981426;0.7114135477884318;0.7116336633663367;0.34087387666563373;0.34087387666563373;0.6815365551425031;0.6811145510835914;0.34076827757125155;0.34076827757125155;0.6813254877671105;0.6497524752475248;0.3096934035305048;0.3096934035305048;0.7114135477884318;0.7116336633663367;0.34076827757125155;0.34076827757125155;0.6815365551425031;0.6811145510835914;0.34076827757125155;0.34076827757125155;0.6815365551425031;0.6811145510835914;0.34076827757125155;0.34076827757125155;0.6815365551425031;0.6811145510835914;0.4032258064516129;0.4032258064516129;0.6813254877671105;0.7118539151965335;0.4032258064516129;0.4032258064516129;0.6813254877671105;0.7118539151965335;0.4032258064516129;0.4032258064516129;0.6813254877671105;0.7118539151965335;0.4032258064516129;0.4032258064516129;0.6813254877671105;0.7118539151965335
Expanded weather and new source;1.1432009626955475;1.203731567860367;0.30921459492888065;0.30921459492888065;0.5261528938409161;0.49504950495049505;0.37174721189591076;0.37174721189591076;0.5882352941176471;0.49520272361497986;0.3714020427112349;0.3714020427112349;0.5882352941176471;0.49520272361497986;0.37151702786377705;0.37151702786377705;0.5882352941176471;0.49520272361497986;0.37151702786377705;0.37151702786377705;0.5882352941176471;0.49520272361497986;0.37151702786377705;0.37151702786377705;0.5882352941176471;0.49520272361497986;0.37163208423660576;0.37163208423660576;0.5261528938409161;0.5264787860018582;0.3404518724852987;0.3404518724852987;0.5261528938409161;0.49504950495049505;0.37151702786377705;0.37151702786377705;0.5882352941176471;0.49520272361497986;0.40260142458965625;0.40260142458965625;0.5261528938409161;0.5264787860018582;0.40260142458965625;0.40260142458965625;0.5261528938409161;0.5264787860018582;0.40260142458965625;0.40260142458965625;0.5261528938409161;0.5264787860018582;0.3095017022593624;0.3094059405940594;0.5884174667079591;0.4333023831631074;0.3095017022593624;0.3094059405940594;0.5884174667079591;0.4333023831631074;0.3095017022593624;0.3094059405940594;0.5884174667079591;0.4333023831631074;0.3095017022593624;0.3094059405940594;0.5884174667079591;0.4333023831631074
Expanded weather;1.0814058275758487;1.0216346153846154;0.3708281829419036;0.3708281829419036;0.5875077303648732;0.5871446229913474;0.30959752321981426;0.30959752321981426;0.5875077303648732;0.5558987029030266;0.3094059405940594;0.3094059405940594;0.5875077303648732;0.5558987029030266;0.3093102381688834;0.3093102381688834;0.5875077303648732;0.5558987029030266;0.3094059405940594;0.3094059405940594;0.5875077303648732;0.5558987029030266;0.3093102381688834;0.3093102381688834;0.5875077303648732;0.5558987029030266;0.3399258343634116;0.3399258343634116;0.5564142194744977;0.5871446229913474;0.4016064257028112;0.4016064257028112;0.5875077303648732;0.5871446229913474;0.3094059405940594;0.3094059405940594;0.5875077303648732;0.5558987029030266;0.3399258343634116;0.3399258343634116;0.5564142194744977;0.5871446229913474;0.3399258343634116;0.3399258343634116;0.5564142194744977;0.5871446229913474;0.3399258343634116;0.3399258343634116;0.5564142194744977;0.5871446229913474;0.24760136180748993;0.2786377708978328;0.6188118811881188;0.49474335188620905;0.24760136180748993;0.2786377708978328;0.6188118811881188;0.49474335188620905;0.24760136180748993;0.2786377708978328;0.6188118811881188;0.49474335188620905;0.24760136180748993;0.2786377708978328;0.6188118811881188;0.49474335188620905
Weather, new source and alka;1.3257005122024708;1.2654413980114492;0.27906976744186046;0.27906976744186046;0.6191950464396285;0.7735148514851485;0.24760136180748993;0.24760136180748993;0.6197706848466067;0.712294828120161;0.30959752321981426;0.30959752321981426;0.7131782945736435;0.7744733581164809;0.30959752321981426;0.30959752321981426;0.7131782945736435;0.7744733581164809;0.2787240631774543;0.2787240631774543;0.7131782945736435;0.7744733581164809;0.30959752321981426;0.30959752321981426;0.7131782945736435;0.7744733581164809;0.21685254027261464;0.21691973969631237;0.7129572225666461;0.7747133560582584;0.2479082739386427;0.24798512089274644;0.6191950464396285;0.7735148514851485;0.3405572755417957;0.3405572755417957;0.7131782945736435;0.7744733581164809;0.21685254027261464;0.21691973969631237;0.7129572225666461;0.7747133560582584;0.21685254027261464;0.21691973969631237;0.7129572225666461;0.7747133560582584;0.21685254027261464;0.21691973969631237;0.7129572225666461;0.7747133560582584;0.2484472049689441;0.2484472049689441;0.6199628022318662;0.6503561474140601;0.2484472049689441;0.2484472049689441;0.6199628022318662;0.6503561474140601;0.2484472049689441;0.2484472049689441;0.6199628022318662;0.6503561474140601;0.2484472049689441;0.2484472049689441;0.6199628022318662;0.6503561474140601
Expanded weather, new source and alka;1.0843373493975903;1.1111111111111112;0.31026993484331367;0.31026993484331367;0.7730364873222016;0.6781750924784217;0.3409795412275264;0.3409795412275264;0.7421150278293136;0.6471494607087828;0.27898326100433973;0.27898326100433973;0.7421150278293136;0.6473489519112207;0.31007751937984496;0.31007751937984496;0.7421150278293136;0.6473489519112207;0.31026993484331367;0.31026993484331367;0.7421150278293136;0.6473489519112207;0.31007751937984496;0.31007751937984496;0.7421150278293136;0.6473489519112207;0.31026993484331367;0.31026993484331367;0.7730364873222016;0.6477483035163479;0.27932960893854747;0.27932960893854747;0.7730364873222016;0.6781750924784217;0.31007751937984496;0.31007751937984496;0.7421150278293136;0.6473489519112207;0.31026993484331367;0.31026993484331367;0.7730364873222016;0.6477483035163479;0.31026993484331367;0.31026993484331367;0.7730364873222016;0.6477483035163479;0.31026993484331367;0.31026993484331367;0.7730364873222016;0.6477483035163479;0.3104625892579944;0.3104625892579944;0.6804825239715434;0.6186204763377668;0.3104625892579944;0.3104625892579944;0.6804825239715434;0.6186204763377668;0.3104625892579944;0.3104625892579944;0.6804825239715434;0.6186204763377668;0.3104625892579944;0.3104625892579944;0.6804825239715434;0.6186204763377668
Expanded weather and alka;1.3847080072245637;1.2338248570568764;0.27932960893854747;0.27932960893854747;0.6503561474140601;0.7125154894671624;0.24891101431238333;0.24891101431238333;0.7428040854224698;0.7432641684732115;0.2798507462686567;0.2488335925349922;0.7118539151965335;0.712294828120161;0.3420398009950249;0.3110419906687403;0.7118539151965335;0.712294828120161;0.3111387678904792;0.3112356053532524;0.7118539151965335;0.712294828120161;0.3420398009950249;0.3110419906687403;0.7118539151965335;0.712294828120161;0.3418272218769422;0.3418272218769422;0.6505576208178439;0.7125154894671624;0.27967681789931637;0.27967681789931637;0.6503561474140601;0.7125154894671624;0.3110419906687403;0.28002489110143125;0.7118539151965335;0.712294828120161;0.3420398009950249;0.3420398009950249;0.6505576208178439;0.7125154894671624;0.3420398009950249;0.3420398009950249;0.6505576208178439;0.7125154894671624;0.3420398009950249;0.3420398009950249;0.6505576208178439;0.7125154894671624;0.4658385093167702;0.4658385093167702;0.5884174667079591;0.6821705426356589;0.4658385093167702;0.4658385093167702;0.5884174667079591;0.6821705426356589;0.4658385093167702;0.4658385093167702;0.5884174667079591;0.6821705426356589;0.4658385093167702;0.4658385093167702;0.5884174667079591;0.6821705426356589
Weather and alka;1.1761158021712907;1.0526315789473684;0.3105590062111801;0.3105590062111801;0.5261528938409161;0.6503561474140601;0.40347610180012417;0.40347610180012417;0.5560704355885079;0.7107540173053153;0.37267080745341613;0.37267080745341613;0.5558987029030266;0.7107540173053153;0.37243947858473;0.37243947858473;0.5558987029030266;0.7107540173053153;0.40335091529630784;0.40335091529630784;0.5558987029030266;0.7107540173053153;0.37243947858473;0.37243947858473;0.5558987029030266;0.7107540173053153;0.37336652146857496;0.37336652146857496;0.5261528938409161;0.6505576208178439;0.3416149068322981;0.3416149068322981;0.5261528938409161;0.6503561474140601;0.37232392181197643;0.37232392181197643;0.5558987029030266;0.7107540173053153;0.3420398009950249;0.3420398009950249;0.5261528938409161;0.6505576208178439;0.3420398009950249;0.3420398009950249;0.5261528938409161;0.6505576208178439;0.3420398009950249;0.3420398009950249;0.5261528938409161;0.6505576208178439;0.435052827843381;0.435052827843381;0.5264787860018582;0.5880532342927886;0.435052827843381;0.435052827843381;0.5264787860018582;0.5880532342927886;0.435052827843381;0.435052827843381;0.5264787860018582;0.5880532342927886;0.435052827843381;0.435052827843381;0.5264787860018582;0.5880532342927886
Expanded all sources;0.818677986658581;0.725733293014817;0.31026993484331367;0.31026993484331367;0.5261528938409161;0.3712871287128713;0.3409795412275264;0.3409795412275264;0.49489638107021344;0.4333023831631074;0.43370508054522927;0.4335707649427067;0.49489638107021344;0.4333023831631074;0.43343653250773995;0.43343653250773995;0.49489638107021344;0.4333023831631074;0.43343653250773995;0.43343653250773995;0.49489638107021344;0.4642525533890436;0.43343653250773995;0.43343653250773995;0.49489638107021344;0.4333023831631074;0.2785515320334262;0.2786377708978328;0.5261528938409161;0.4329004329004329;0.3105590062111801;0.3105590062111801;0.5261528938409161;0.3712871287128713;0.43343653250773995;0.43343653250773995;0.49489638107021344;0.4333023831631074;0.2785515320334262;0.2786377708978328;0.5261528938409161;0.4329004329004329;0.2785515320334262;0.2786377708978328;0.5261528938409161;0.4329004329004329;0.2785515320334262;0.2786377708978328;0.5261528938409161;0.4329004329004329;0.3104625892579944;0.3104625892579944;0.4646840148698885;0.4649721016738996;0.3104625892579944;0.3104625892579944;0.4646840148698885;0.4649721016738996;0.3104625892579944;0.3104625892579944;0.4646840148698885;0.4649721016738996;0.3104625892579944;0.3104625892579944;0.4646840148698885;0.4649721016738996
All sources;0.8987417615338525;1.0497900419916015;0.3111387678904792;0.3111387678904792;0.40210330961954843;0.5567584287039901;0.34214618973561434;0.34214618973561434;0.4330343334364367;0.5567584287039901;0.3422526446795271;0.3422526446795271;0.49474335188620905;0.5569306930693069;0.3114294612270321;0.3114294612270321;0.49474335188620905;0.5569306930693069;0.2802865151043289;0.2802865151043289;0.49474335188620905;0.5569306930693069;0.3114294612270321;0.3114294612270321;0.49474335188620905;0.5569306930693069;0.2484472049689441;0.2484472049689441;0.463821892393321;0.5569306930693069;0.27993779160186627;0.27993779160186627;0.40210330961954843;0.5567584287039901;0.28019925280199254;0.28019925280199254;0.49474335188620905;0.5569306930693069;0.21745883814849334;0.21745883814849334;0.463821892393321;0.5569306930693069;0.21745883814849334;0.21745883814849334;0.463821892393321;0.5569306930693069;0.21745883814849334;0.21745883814849334;0.463821892393321;0.5569306930693069;0.37255510710959333;0.37232392181197643;0.49550944564880767;0.6487488415199258;0.37255510710959333;0.37232392181197643;0.49550944564880767;0.6487488415199258;0.37255510710959333;0.37232392181197643;0.49550944564880767;0.6487488415199258;0.37255510710959333;0.37232392181197643;0.49550944564880767;0.6487488415199258
