Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;16.40625;14.229249011857709;2.0;2.0;5.138339920948617;4.382470119521913;3.1746031746031744;3.1746031746031744;5.533596837944664;4.382470119521913;2.4;2.4;5.138339920948617;4.382470119521913;2.0;2.0;5.138339920948617;4.382470119521913;2.0;2.0;5.138339920948617;4.382470119521913;2.0;2.0;5.138339920948617;4.382470119521913;1.6064257028112447;1.6064257028112447;5.138339920948617;4.382470119521913;2.0;2.0;5.138339920948617;4.382470119521913;2.0;2.0;5.138339920948617;4.382470119521913;1.6064257028112447;1.6064257028112447;5.138339920948617;4.382470119521913;1.6064257028112447;1.6064257028112447;5.138339920948617;4.382470119521913;1.6064257028112447;1.6064257028112447;5.138339920948617;4.382470119521913;3.1746031746031744;3.1746031746031744;5.138339920948617;4.382470119521913;3.1746031746031744;3.1746031746031744;5.138339920948617;4.382470119521913;3.1746031746031744;3.1746031746031744;5.138339920948617;4.382470119521913;3.1746031746031744;3.1746031746031744;5.138339920948617;4.382470119521913
Weather and new source;14.000000000000002;13.600000000000001;1.593625498007968;1.593625498007968;2.0242914979757085;2.82258064516129;2.0;2.0;2.82258064516129;2.834008097165992;1.2048192771084338;1.2048192771084338;2.82258064516129;2.834008097165992;1.2048192771084338;1.2048192771084338;2.82258064516129;2.834008097165992;1.2048192771084338;1.2048192771084338;2.82258064516129;2.834008097165992;1.2048192771084338;1.2048192771084338;2.82258064516129;2.834008097165992;2.371541501976284;2.371541501976284;2.0242914979757085;2.82258064516129;1.593625498007968;1.593625498007968;2.0242914979757085;2.82258064516129;1.2048192771084338;1.2048192771084338;2.82258064516129;2.834008097165992;1.984126984126984;1.984126984126984;2.0242914979757085;2.82258064516129;1.984126984126984;1.984126984126984;2.0242914979757085;2.82258064516129;1.984126984126984;1.984126984126984;2.0242914979757085;2.82258064516129;1.6;1.6;2.8112449799196786;2.834008097165992;1.6;1.6;2.8112449799196786;2.834008097165992;1.6;1.6;2.8112449799196786;2.834008097165992;1.6;1.6;2.8112449799196786;2.834008097165992
Expanded weather and new source;15.476190476190476;15.019762845849801;3.187250996015936;3.187250996015936;4.382470119521913;4.761904761904762;2.4096385542168677;2.4096385542168677;4.365079365079365;4.382470119521913;2.0080321285140563;2.0080321285140563;4.365079365079365;4.382470119521913;2.0080321285140563;2.0080321285140563;4.365079365079365;4.382470119521913;2.0080321285140563;2.0080321285140563;4.365079365079365;4.382470119521913;2.0080321285140563;2.0080321285140563;4.365079365079365;4.382470119521913;2.0;2.0;4.382470119521913;4.382470119521913;3.187250996015936;3.187250996015936;4.382470119521913;4.761904761904762;2.0080321285140563;2.0080321285140563;4.365079365079365;4.382470119521913;2.0;2.0;4.382470119521913;4.382470119521913;2.0;2.0;4.382470119521913;4.382470119521913;2.0;2.0;4.382470119521913;4.382470119521913;3.9525691699604746;3.9525691699604746;5.158730158730158;4.761904761904762;3.9525691699604746;3.9525691699604746;5.158730158730158;4.761904761904762;3.9525691699604746;3.9525691699604746;5.158730158730158;4.761904761904762;3.9525691699604746;3.9525691699604746;5.158730158730158;4.761904761904762
Expanded weather;16.205533596837945;17.509727626459142;2.4096385542168677;2.4096385542168677;5.138339920948617;5.511811023622047;2.4;2.4;5.138339920948617;5.511811023622047;2.0080321285140563;2.0080321285140563;4.743083003952568;5.511811023622047;2.0080321285140563;2.0080321285140563;4.743083003952568;5.511811023622047;2.0080321285140563;2.0080321285140563;4.743083003952568;5.511811023622047;2.0080321285140563;2.0080321285140563;4.743083003952568;5.511811023622047;2.4096385542168677;2.4096385542168677;4.743083003952568;5.511811023622047;3.187250996015936;3.187250996015936;5.138339920948617;5.511811023622047;2.0080321285140563;2.0080321285140563;4.743083003952568;5.511811023622047;2.4096385542168677;2.4096385542168677;4.743083003952568;5.511811023622047;2.4096385542168677;2.4096385542168677;4.743083003952568;5.511811023622047;2.4096385542168677;2.4096385542168677;4.743083003952568;5.511811023622047;3.571428571428571;3.571428571428571;3.968253968253968;4.382470119521913;3.571428571428571;3.571428571428571;3.968253968253968;4.382470119521913;3.571428571428571;3.571428571428571;3.968253968253968;4.382470119521913;3.571428571428571;3.571428571428571;3.968253968253968;4.382470119521913
Weather, new source and alka;16.015625;15.953307392996107;3.968253968253968;3.968253968253968;4.365079365079365;5.928853754940711;3.1746031746031744;3.1746031746031744;4.365079365079365;5.158730158730158;3.9840637450199203;3.9840637450199203;4.761904761904762;5.158730158730158;3.2;3.2;4.761904761904762;5.158730158730158;3.2;3.2;4.761904761904762;5.158730158730158;3.2;3.2;4.761904761904762;5.158730158730158;3.2;2.8000000000000003;4.761904761904762;5.158730158730158;3.5999999999999996;3.2;4.365079365079365;5.928853754940711;3.9840637450199203;3.9840637450199203;4.761904761904762;5.158730158730158;3.2;2.8000000000000003;4.761904761904762;5.158730158730158;3.2;2.8000000000000003;4.761904761904762;5.158730158730158;3.2;2.8000000000000003;4.761904761904762;5.158730158730158;2.8000000000000003;2.8000000000000003;3.9840637450199203;4.761904761904762;2.8000000000000003;2.8000000000000003;3.9840637450199203;4.761904761904762;2.8000000000000003;2.8000000000000003;3.9840637450199203;4.761904761904762;2.8000000000000003;2.8000000000000003;3.9840637450199203;4.761904761904762
Expanded weather, new source and alka;15.354330708661418;15.294117647058824;3.2;3.2;3.2128514056224895;4.0;3.187250996015936;3.187250996015936;3.2128514056224895;4.0;3.187250996015936;3.187250996015936;3.2128514056224895;4.0;3.187250996015936;3.187250996015936;3.2128514056224895;4.0;3.187250996015936;3.187250996015936;3.2128514056224895;4.0;3.187250996015936;3.187250996015936;3.2128514056224895;4.0;3.2;3.2;3.2128514056224895;4.0;3.2;3.2;3.2128514056224895;4.0;3.187250996015936;3.187250996015936;3.2128514056224895;4.0;3.2;3.2;3.2128514056224895;4.0;3.2;3.2;3.2128514056224895;4.0;3.2;3.2;3.2128514056224895;4.0;3.1620553359683794;3.1620553359683794;3.2;3.5999999999999996;3.1620553359683794;3.1620553359683794;3.2;3.5999999999999996;3.1620553359683794;3.1620553359683794;3.2;3.5999999999999996;3.1620553359683794;3.1620553359683794;3.2;3.5999999999999996
Expanded weather and alka;14.682539682539684;14.682539682539684;5.078125;5.078125;3.9525691699604746;3.5856573705179287;2.7777777777777777;2.7777777777777777;4.365079365079365;3.571428571428571;2.7777777777777777;2.7777777777777777;4.365079365079365;3.571428571428571;3.543307086614173;3.543307086614173;4.365079365079365;3.571428571428571;3.543307086614173;3.543307086614173;4.365079365079365;3.571428571428571;3.543307086614173;3.543307086614173;4.365079365079365;3.571428571428571;4.313725490196078;4.313725490196078;3.9525691699604746;3.5856573705179287;4.313725490196078;4.313725490196078;3.9525691699604746;3.5856573705179287;2.7777777777777777;2.7777777777777777;4.365079365079365;3.571428571428571;3.937007874015748;3.937007874015748;3.9525691699604746;3.5856573705179287;3.937007874015748;3.937007874015748;3.9525691699604746;3.5856573705179287;3.937007874015748;3.937007874015748;3.9525691699604746;3.5856573705179287;4.330708661417323;4.330708661417323;4.330708661417323;4.743083003952568;4.330708661417323;4.330708661417323;4.330708661417323;4.743083003952568;4.330708661417323;4.330708661417323;4.330708661417323;4.743083003952568;4.330708661417323;4.330708661417323;4.330708661417323;4.743083003952568
Weather and alka;16.141732283464567;16.015625;3.1746031746031744;3.1746031746031744;4.365079365079365;3.2128514056224895;3.1746031746031744;3.1746031746031744;3.968253968253968;3.2128514056224895;3.937007874015748;3.937007874015748;4.3478260869565215;3.2128514056224895;4.313725490196078;4.313725490196078;4.3478260869565215;3.2128514056224895;4.313725490196078;4.313725490196078;4.3478260869565215;3.2128514056224895;4.313725490196078;4.313725490196078;4.3478260869565215;3.2128514056224895;3.1746031746031744;3.1746031746031744;5.511811023622047;3.2128514056224895;2.788844621513944;2.788844621513944;4.365079365079365;3.2128514056224895;4.313725490196078;4.313725490196078;4.3478260869565215;3.2128514056224895;3.1746031746031744;3.1746031746031744;5.511811023622047;3.2128514056224895;3.1746031746031744;3.1746031746031744;5.511811023622047;3.2128514056224895;3.1746031746031744;3.1746031746031744;5.511811023622047;3.2128514056224895;2.788844621513944;2.788844621513944;5.88235294117647;3.5999999999999996;2.788844621513944;2.788844621513944;5.88235294117647;3.5999999999999996;2.788844621513944;2.788844621513944;5.88235294117647;3.5999999999999996;2.788844621513944;2.788844621513944;5.88235294117647;3.5999999999999996
Expanded all sources;16.141732283464567;15.686274509803921;4.3999999999999995;4.3999999999999995;6.666666666666667;4.761904761904762;4.382470119521913;4.382470119521913;6.299212598425196;5.158730158730158;2.8112449799196786;2.8112449799196786;6.666666666666667;5.533596837944664;3.5999999999999996;3.5999999999999996;6.666666666666667;5.533596837944664;3.5999999999999996;3.5999999999999996;6.666666666666667;5.533596837944664;3.5999999999999996;3.5999999999999996;6.666666666666667;5.533596837944664;4.3999999999999995;3.614457831325301;6.666666666666667;5.138339920948617;4.780876494023905;4.780876494023905;6.666666666666667;4.761904761904762;3.5999999999999996;3.5999999999999996;6.666666666666667;5.533596837944664;4.3999999999999995;3.614457831325301;6.666666666666667;5.138339920948617;4.3999999999999995;3.614457831325301;6.666666666666667;5.138339920948617;4.3999999999999995;3.614457831325301;6.666666666666667;5.138339920948617;5.490196078431373;5.490196078431373;6.2745098039215685;5.138339920948617;5.490196078431373;5.490196078431373;6.2745098039215685;5.138339920948617;5.490196078431373;5.490196078431373;6.2745098039215685;5.138339920948617;5.490196078431373;5.490196078431373;6.2745098039215685;5.138339920948617
All sources;17.441860465116278;17.829457364341085;4.761904761904762;4.761904761904762;5.138339920948617;5.6000000000000005;4.761904761904762;4.761904761904762;5.138339920948617;5.6000000000000005;5.138339920948617;5.138339920948617;5.138339920948617;5.6000000000000005;4.365079365079365;4.365079365079365;5.138339920948617;5.6000000000000005;4.724409448818897;4.724409448818897;5.138339920948617;5.6000000000000005;4.365079365079365;4.365079365079365;5.138339920948617;5.6000000000000005;5.118110236220472;5.118110236220472;5.138339920948617;5.6000000000000005;4.761904761904762;4.761904761904762;5.138339920948617;5.6000000000000005;4.743083003952568;4.743083003952568;5.138339920948617;5.6000000000000005;4.743083003952568;4.743083003952568;5.138339920948617;5.6000000000000005;4.743083003952568;4.743083003952568;5.138339920948617;5.6000000000000005;4.743083003952568;4.743083003952568;5.138339920948617;5.6000000000000005;5.490196078431373;5.490196078431373;3.9840637450199203;6.0;5.490196078431373;5.490196078431373;3.9840637450199203;6.0;5.490196078431373;5.490196078431373;3.9840637450199203;6.0;5.490196078431373;5.490196078431373;3.9840637450199203;6.0
