Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;90.6789413118527;90.97222222222221;96.24413145539906;96.24413145539906;95.76470588235294;95.08196721311475;96.58421672555949;96.58421672555949;95.53466509988249;94.85380116959064;96.70588235294117;96.70588235294117;95.53466509988249;94.85380116959064;96.70975323149236;96.70975323149236;95.53466509988249;94.85380116959064;96.82352941176471;96.82352941176471;95.53466509988249;94.85380116959064;96.70975323149236;96.70975323149236;95.53466509988249;94.85380116959064;96.82352941176471;96.82352941176471;95.76470588235294;95.1934349355217;96.47058823529412;96.47058823529412;95.76470588235294;95.08196721311475;96.70975323149236;96.70975323149236;95.53466509988249;94.85380116959064;96.82352941176471;96.82352941176471;95.76470588235294;95.1934349355217;96.82352941176471;96.82352941176471;95.76470588235294;95.1934349355217;96.82352941176471;96.82352941176471;95.76470588235294;95.1934349355217;97.16646989374263;97.16646989374263;95.99528857479388;95.53466509988249;97.16646989374263;97.16646989374263;95.99528857479388;95.53466509988249;97.16646989374263;97.16646989374263;95.99528857479388;95.53466509988249;97.16646989374263;97.16646989374263;95.99528857479388;95.53466509988249
Weather and new source;91.33949191685913;91.31944444444444;97.2877358490566;97.2877358490566;96.4622641509434;96.23529411764706;97.05882352941177;97.05882352941177;96.46643109540636;95.78454332552693;97.29093050647822;97.29093050647822;96.34864546525324;96.23971797884842;97.29093050647822;97.29093050647822;96.34864546525324;96.23971797884842;97.29093050647822;97.29093050647822;96.34864546525324;96.23971797884842;97.29093050647822;97.29093050647822;96.34864546525324;96.23971797884842;97.1731448763251;97.1731448763251;96.4622641509434;96.23529411764706;97.2877358490566;97.2877358490566;96.4622641509434;96.11764705882354;97.29093050647822;97.29093050647822;96.34864546525324;96.23971797884842;97.1731448763251;97.1731448763251;96.4622641509434;96.23529411764706;97.1731448763251;97.1731448763251;96.4622641509434;96.23529411764706;97.1731448763251;97.1731448763251;96.4622641509434;96.23529411764706;96.4747356051704;96.4747356051704;96.23529411764706;96.11764705882354;96.4747356051704;96.4747356051704;96.23529411764706;96.11764705882354;96.4747356051704;96.4747356051704;96.23529411764706;96.11764705882354;96.4747356051704;96.4747356051704;96.23529411764706;96.11764705882354
Expanded weather and new source;90.06849315068493;90.37800687285224;97.05188679245283;97.05188679245283;95.76968272620446;96.34433962264151;97.52066115702479;97.52066115702479;95.54513481828839;96.00470035252644;97.39644970414201;97.39644970414201;95.54513481828839;96.11764705882354;97.51479289940829;97.51479289940829;95.54513481828839;96.11764705882354;97.51479289940829;97.51479289940829;95.54513481828839;96.11764705882354;97.51479289940829;97.51479289940829;95.54513481828839;96.11764705882354;97.28132387706856;97.28132387706856;95.76968272620446;96.34433962264151;97.16646989374263;97.16646989374263;95.76968272620446;96.34433962264151;97.51479289940829;97.51479289940829;95.54513481828839;96.11764705882354;97.28132387706856;97.28132387706856;95.76968272620446;96.34433962264151;97.28132387706856;97.28132387706856;95.76968272620446;96.34433962264151;97.28132387706856;97.28132387706856;95.76968272620446;96.34433962264151;96.59224441833138;96.59224441833138;95.88235294117648;96.23085983510012;96.59224441833138;96.59224441833138;95.88235294117648;96.23085983510012;96.59224441833138;96.59224441833138;95.88235294117648;96.23085983510012;96.59224441833138;96.59224441833138;95.88235294117648;96.23085983510012
Expanded weather;90.35591274397244;90.0;96.58018867924528;96.58018867924528;95.76470588235294;94.97076023391813;96.69811320754717;96.69811320754717;95.76470588235294;94.85981308411215;96.58421672555949;96.58421672555949;95.88235294117648;94.9766355140187;96.58421672555949;96.58421672555949;95.88235294117648;94.9766355140187;96.58421672555949;96.58421672555949;95.88235294117648;94.9766355140187;96.58421672555949;96.58421672555949;95.88235294117648;94.9766355140187;96.58421672555949;96.58421672555949;95.88235294117648;95.08771929824562;96.4622641509434;96.4622641509434;95.76470588235294;94.97076023391813;96.58421672555949;96.58421672555949;95.88235294117648;94.9766355140187;96.58421672555949;96.58421672555949;95.88235294117648;95.08771929824562;96.58421672555949;96.58421672555949;95.88235294117648;95.08771929824562;96.58421672555949;96.58421672555949;95.88235294117648;95.08771929824562;96.92671394799054;96.92671394799054;95.88235294117648;95.2046783625731;96.92671394799054;96.92671394799054;95.88235294117648;95.2046783625731;96.92671394799054;96.92671394799054;95.88235294117648;95.2046783625731;96.92671394799054;96.92671394799054;95.88235294117648;95.2046783625731
Weather, new source and alka;90.65743944636678;91.29930394431554;96.47887323943662;96.47887323943662;94.73684210526315;94.84173505275498;96.6002344665885;96.6002344665885;94.73684210526315;94.84777517564403;96.37002341920375;96.37002341920375;94.85380116959064;94.84777517564403;96.4871194379391;96.4871194379391;94.85380116959064;94.84777517564403;96.6002344665885;96.6002344665885;94.85380116959064;94.84777517564403;96.4871194379391;96.4871194379391;94.85380116959064;94.84777517564403;96.48300117233293;96.59624413145539;94.85380116959064;94.95896834701055;96.59224441833138;96.70588235294117;94.73684210526315;94.84173505275498;96.37002341920375;96.37002341920375;94.85380116959064;94.84777517564403;96.48300117233293;96.59624413145539;94.85380116959064;94.95896834701055;96.48300117233293;96.59624413145539;94.85380116959064;94.95896834701055;96.48300117233293;96.59624413145539;94.85380116959064;94.95896834701055;97.39644970414201;97.39644970414201;95.07620164126612;95.07620164126612;97.39644970414201;97.39644970414201;95.07620164126612;95.07620164126612;97.39644970414201;97.39644970414201;95.07620164126612;95.07620164126612;97.39644970414201;97.39644970414201;95.07620164126612;95.07620164126612
Expanded weather, new source and alka;90.02293577981652;90.3337169159954;97.6218787158145;97.6218787158145;95.88719153936546;95.43325526932084;97.62470308788599;97.62470308788599;95.88719153936546;95.21028037383178;97.62752075919336;97.62752075919336;95.88719153936546;95.21028037383178;97.62752075919336;97.62752075919336;95.88719153936546;95.21028037383178;97.74346793349169;97.74346793349169;95.88719153936546;95.21028037383178;97.62752075919336;97.62752075919336;95.88719153936546;95.21028037383178;97.3902728351127;97.3902728351127;95.76968272620446;95.31615925058547;97.74078478002379;97.74078478002379;95.88719153936546;95.43325526932084;97.62752075919336;97.62752075919336;95.88719153936546;95.21028037383178;97.3902728351127;97.3902728351127;95.76968272620446;95.31615925058547;97.3902728351127;97.3902728351127;95.76968272620446;95.31615925058547;97.3902728351127;97.3902728351127;95.76968272620446;95.31615925058547;96.58018867924528;96.58018867924528;96.113074204947;95.65727699530517;96.58018867924528;96.58018867924528;96.113074204947;95.65727699530517;96.58018867924528;96.58018867924528;96.113074204947;95.65727699530517;96.58018867924528;96.58018867924528;96.113074204947;95.65727699530517
Expanded weather and alka;90.24110218140069;90.4487917146145;96.47058823529412;96.47058823529412;95.42790152403282;94.51575262543757;96.46643109540636;96.46643109540636;94.41210710128057;94.4055944055944;96.93034238488784;96.93034238488784;94.52852153667055;94.52214452214453;97.27810650887574;97.27810650887574;94.52852153667055;94.52214452214453;97.16312056737588;97.16312056737588;94.52852153667055;94.52214452214453;97.27810650887574;97.27810650887574;94.52852153667055;94.52214452214453;96.81603773584906;96.81603773584906;95.54513481828839;94.63243873978998;96.69811320754717;96.69811320754717;95.42790152403282;94.51575262543757;96.93034238488784;96.93034238488784;94.52852153667055;94.52214452214453;96.70200235571261;96.70200235571261;95.54513481828839;94.63243873978998;96.70200235571261;96.70200235571261;95.54513481828839;94.63243873978998;96.70200235571261;96.70200235571261;95.54513481828839;94.63243873978998;97.27488151658767;97.27488151658767;95.77464788732394;95.19906323185012;97.27488151658767;97.27488151658767;95.77464788732394;95.19906323185012;97.27488151658767;97.27488151658767;95.77464788732394;95.19906323185012;97.27488151658767;97.27488151658767;95.77464788732394;95.19906323185012
Weather and alka;90.91954022988506;90.70034443168772;97.15976331360947;97.15976331360947;95.41715628672151;95.41715628672151;97.15976331360947;97.15976331360947;95.29964747356053;95.07620164126612;96.81603773584906;96.81603773584906;95.4225352112676;95.1934349355217;96.81227863046044;96.81227863046044;95.4225352112676;95.1934349355217;96.81603773584906;96.81603773584906;95.4225352112676;95.1934349355217;96.81227863046044;96.81227863046044;95.4225352112676;95.1934349355217;96.81603773584906;96.81603773584906;95.53990610328638;95.6470588235294;97.27810650887574;97.27810650887574;95.41715628672151;95.41715628672151;96.81603773584906;96.81603773584906;95.4225352112676;95.1934349355217;96.81978798586573;96.81978798586573;95.53990610328638;95.6470588235294;96.81978798586573;96.81978798586573;95.53990610328638;95.6470588235294;96.81978798586573;96.81978798586573;95.53990610328638;95.6470588235294;96.69421487603306;96.69421487603306;95.42790152403282;95.75971731448763;96.69421487603306;96.69421487603306;95.42790152403282;95.75971731448763;96.69421487603306;96.69421487603306;95.42790152403282;95.75971731448763;96.69421487603306;96.69421487603306;95.42790152403282;95.75971731448763
Expanded all sources;89.37142857142857;89.29384965831434;97.14964370546319;97.14964370546319;94.41860465116278;94.63869463869464;96.80094786729858;96.80094786729858;94.29569266589057;94.52852153667055;96.45808736717828;96.34433962264151;94.41210710128057;94.63869463869464;96.45808736717828;96.45808736717828;94.41210710128057;94.63869463869464;96.45808736717828;96.45808736717828;94.41210710128057;94.63869463869464;96.45808736717828;96.45808736717828;94.41210710128057;94.63869463869464;96.34002361275088;96.45390070921985;94.18604651162791;94.52852153667055;97.03440094899169;97.03440094899169;94.41860465116278;94.63869463869464;96.34433962264151;96.34433962264151;94.41210710128057;94.63869463869464;96.34002361275088;96.45390070921985;94.18604651162791;94.52852153667055;96.34002361275088;96.45390070921985;94.18604651162791;94.52852153667055;96.34002361275088;96.45390070921985;94.18604651162791;94.52852153667055;97.03791469194313;97.03791469194313;94.72450175849941;95.07042253521126;97.03791469194313;97.03791469194313;94.72450175849941;95.07042253521126;97.03791469194313;97.03791469194313;94.72450175849941;95.07042253521126;97.03791469194313;97.03791469194313;94.72450175849941;95.07042253521126
All sources;90.98265895953757;91.23414071510958;96.47887323943662;96.47887323943662;95.77464788732394;95.77464788732394;96.47887323943662;96.47887323943662;95.89201877934272;95.66236811254396;96.94477085781433;96.94477085781433;95.89201877934272;95.42790152403282;96.94477085781433;96.94477085781433;95.89201877934272;95.42790152403282;97.1764705882353;97.1764705882353;95.89201877934272;95.42790152403282;96.94477085781433;96.94477085781433;95.89201877934272;95.42790152403282;96.24853458382181;96.24853458382181;95.77464788732394;95.65727699530517;96.81978798586573;96.81978798586573;95.77464788732394;95.77464788732394;97.05882352941177;97.05882352941177;95.89201877934272;95.42790152403282;96.6002344665885;96.6002344665885;95.77464788732394;95.65727699530517;96.6002344665885;96.6002344665885;95.77464788732394;95.65727699530517;96.6002344665885;96.6002344665885;95.77464788732394;95.65727699530517;97.04840613931523;97.04840613931523;95.88719153936546;96.11764705882354;97.04840613931523;97.04840613931523;95.88719153936546;96.11764705882354;97.04840613931523;97.04840613931523;95.88719153936546;96.11764705882354;97.04840613931523;97.04840613931523;95.88719153936546;96.11764705882354
