Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;9.896682979880369;9.239130434782608;2.753303964757709;2.753303964757709;3.088803088803089;3.3627342888643876;2.698237885462555;2.698237885462555;3.1422271223814775;3.3608815426997243;2.8618602091359384;2.8618602091359384;3.1422271223814775;3.3608815426997243;2.806824435883324;2.806824435883324;3.1422271223814775;3.3608815426997243;2.806824435883324;2.806824435883324;3.1422271223814775;3.3608815426997243;2.806824435883324;2.806824435883324;3.1422271223814775;3.3608815426997243;2.643171806167401;2.643171806167401;3.088803088803089;3.307607497243661;2.698237885462555;2.698237885462555;3.088803088803089;3.3627342888643876;2.806824435883324;2.806824435883324;3.1422271223814775;3.3608815426997243;2.643171806167401;2.643171806167401;3.088803088803089;3.307607497243661;2.643171806167401;2.643171806167401;3.088803088803089;3.307607497243661;2.643171806167401;2.643171806167401;3.088803088803089;3.307607497243661;2.971931755641167;2.971931755641167;3.2542746828461118;3.415977961432507;2.971931755641167;2.971931755641167;3.2542746828461118;3.415977961432507;2.971931755641167;2.971931755641167;3.2542746828461118;3.415977961432507;2.971931755641167;2.971931755641167;3.2542746828461118;3.415977961432507
Weather and new source;9.81029810298103;9.479956663055255;2.9670329670329667;2.9670329670329667;3.628367234744365;3.8461538461538463;2.857142857142857;2.857142857142857;3.575357535753575;4.006586169045005;2.5866813428728674;2.5866813428728674;3.4653465346534658;3.7362637362637363;2.5866813428728674;2.5866813428728674;3.4653465346534658;3.7362637362637363;2.5866813428728674;2.5866813428728674;3.4653465346534658;3.7362637362637363;2.5866813428728674;2.5866813428728674;3.4653465346534658;3.7362637362637363;2.912087912087912;2.912087912087912;3.5733919736118747;3.7362637362637363;2.9670329670329667;2.9670329670329667;3.628367234744365;3.901098901098901;2.5866813428728674;2.5866813428728674;3.4653465346534658;3.7362637362637363;2.803738317757009;2.803738317757009;3.5733919736118747;3.7362637362637363;2.803738317757009;2.803738317757009;3.5733919736118747;3.7362637362637363;2.803738317757009;2.803738317757009;3.5733919736118747;3.7362637362637363;2.7548209366391188;2.7548209366391188;3.6833424958768552;3.9538714991762767;2.7548209366391188;2.7548209366391188;3.6833424958768552;3.9538714991762767;2.7548209366391188;2.7548209366391188;3.6833424958768552;3.9538714991762767;2.7548209366391188;2.7548209366391188;3.6833424958768552;3.9538714991762767
Expanded weather and new source;10.15200868621064;10.173160173160174;2.6967528893780957;2.6967528893780957;3.7362637362637363;3.6813186813186816;2.535832414553473;2.535832414553473;3.6813186813186816;3.626373626373627;2.803738317757009;2.803738317757009;3.6813186813186816;3.6792970895112576;2.4779735682819384;2.4779735682819384;3.6813186813186816;3.6792970895112576;2.4779735682819384;2.4779735682819384;3.6813186813186816;3.6792970895112576;2.4779735682819384;2.4779735682819384;3.6813186813186816;3.6792970895112576;2.476609796367639;2.476609796367639;3.7362637362637363;3.787047200878156;2.643171806167401;2.643171806167401;3.7362637362637363;3.6813186813186816;2.4779735682819384;2.4779735682819384;3.6813186813186816;3.6792970895112576;2.4779735682819384;2.4779735682819384;3.7362637362637363;3.787047200878156;2.4779735682819384;2.4779735682819384;3.7362637362637363;3.787047200878156;2.4779735682819384;2.4779735682819384;3.7362637362637363;3.787047200878156;2.5330396475770924;2.5330396475770924;3.787047200878156;3.628367234744365;2.5330396475770924;2.5330396475770924;3.787047200878156;3.628367234744365;2.5330396475770924;2.5330396475770924;3.787047200878156;3.628367234744365;2.5330396475770924;2.5330396475770924;3.787047200878156;3.628367234744365
Expanded weather;9.92407809110629;9.712425393380359;3.5049288061336252;3.5049288061336252;3.9538714991762767;4.063701263042285;3.1833150384193196;3.1833150384193196;3.901098901098901;4.010989010989011;3.1833150384193196;3.1833150384193196;3.901098901098901;4.010989010989011;3.1815688425671973;3.1815688425671973;3.901098901098901;4.010989010989011;3.128430296377607;3.128430296377607;3.901098901098901;4.010989010989011;3.1815688425671973;3.1815688425671973;3.901098901098901;4.010989010989011;3.234649122807018;3.234649122807018;3.9538714991762767;4.063701263042285;3.4520547945205484;3.4520547945205484;3.9538714991762767;4.063701263042285;3.289473684210526;3.289473684210526;3.901098901098901;4.010989010989011;3.236423477783873;3.236423477783873;3.9538714991762767;4.063701263042285;3.236423477783873;3.236423477783873;3.9538714991762767;4.063701263042285;3.236423477783873;3.236423477783873;3.9538714991762767;4.063701263042285;3.2399780340472266;3.1868131868131866;3.6833424958768552;4.118616144975288;3.2399780340472266;3.1868131868131866;3.6833424958768552;4.118616144975288;3.2399780340472266;3.1868131868131866;3.6833424958768552;4.118616144975288;3.2399780340472266;3.1868131868131866;3.6833424958768552;4.118616144975288
Weather, new source and alka;9.357997823721437;8.150984682713348;2.6967528893780957;2.6967528893780957;3.6204059243006035;3.7932930181418363;2.8052805280528053;2.8052805280528053;3.5655512890839276;3.4122179416620804;2.8618602091359384;2.8618602091359384;3.7828947368421053;3.52035203520352;2.8602860286028604;2.8602860286028604;3.7828947368421053;3.52035203520352;2.8602860286028604;2.8602860286028604;3.7828947368421053;3.52035203520352;2.8602860286028604;2.8602860286028604;3.7828947368421053;3.52035203520352;2.8602860286028604;2.6967528893780957;3.7828947368421053;3.5184167124793846;2.9136888400219902;2.7502750275027505;3.6204059243006035;3.7932930181418363;2.8618602091359384;2.8618602091359384;3.7828947368421053;3.52035203520352;2.9136888400219902;2.7502750275027505;3.7828947368421053;3.5184167124793846;2.9136888400219902;2.7502750275027505;3.7828947368421053;3.5184167124793846;2.9136888400219902;2.7502750275027505;3.7828947368421053;3.5184167124793846;2.7563395810363835;2.7563395810363835;3.8335158817086525;3.6792970895112576;2.7563395810363835;2.7563395810363835;3.8335158817086525;3.6792970895112576;2.7563395810363835;2.7563395810363835;3.8335158817086525;3.6792970895112576;2.7563395810363835;2.7563395810363835;3.8335158817086525;3.6792970895112576
Expanded weather, new source and alka;9.526401741970604;8.982035928143713;2.5895316804407713;2.5895316804407713;3.784969829950631;3.8946791003839825;2.695269526952695;2.695269526952695;3.787047200878156;3.8946791003839825;2.585258525852585;2.585258525852585;3.7321624588364433;3.8946791003839825;2.585258525852585;2.585258525852585;3.7321624588364433;3.8946791003839825;2.476609796367639;2.476609796367639;3.7321624588364433;3.8946791003839825;2.585258525852585;2.585258525852585;3.7321624588364433;3.8946791003839825;2.5344352617079893;2.5344352617079893;3.784969829950631;4.00219298245614;2.5344352617079893;2.5344352617079893;3.784969829950631;3.8946791003839825;2.585258525852585;2.585258525852585;3.7321624588364433;3.8946791003839825;2.5344352617079893;2.5344352617079893;3.784969829950631;4.00219298245614;2.5344352617079893;2.5344352617079893;3.784969829950631;4.00219298245614;2.5344352617079893;2.5344352617079893;3.784969829950631;4.00219298245614;2.8083700440528636;2.8083700440528636;3.2506887052341593;3.4634414513468936;2.8083700440528636;2.8083700440528636;3.2506887052341593;3.4634414513468936;2.8083700440528636;2.8083700440528636;3.2506887052341593;3.4634414513468936;2.8083700440528636;2.8083700440528636;3.2506887052341593;3.4634414513468936
Expanded weather and alka;9.59651035986914;9.254218835057157;2.5344352617079893;2.5344352617079893;3.575357535753575;3.844041735310269;2.3166023166023164;2.3166023166023164;3.6303630363036308;3.844041735310269;2.4255788313120177;2.3704520396912896;3.6303630363036308;3.844041735310269;2.4269167126309985;2.3717595146166577;3.6303630363036308;3.844041735310269;2.3166023166023164;2.3166023166023164;3.6303630363036308;3.844041735310269;2.4269167126309985;2.3717595146166577;3.6303630363036308;3.844041735310269;2.4807056229327453;2.4807056229327453;3.6833424958768552;3.844041735310269;2.3717595146166577;2.3717595146166577;3.575357535753575;3.844041735310269;2.4255788313120177;2.3704520396912896;3.6303630363036308;3.844041735310269;2.4269167126309985;2.4269167126309985;3.6833424958768552;3.844041735310269;2.4269167126309985;2.4269167126309985;3.6833424958768552;3.844041735310269;2.4269167126309985;2.4269167126309985;3.6833424958768552;3.844041735310269;2.9217199558985665;2.9217199558985665;3.4122179416620804;3.6833424958768552;2.9217199558985665;2.9217199558985665;3.4122179416620804;3.6833424958768552;2.9217199558985665;2.9217199558985665;3.4122179416620804;3.6833424958768552;2.9217199558985665;2.9217199558985665;3.4122179416620804;3.6833424958768552
Weather and alka;9.056192034915439;8.88283378746594;3.023639362286971;3.023639362286971;3.74037403740374;4.008786381109281;2.9136888400219902;2.9136888400219902;3.9032435404068173;4.226125137211855;3.023639362286971;3.023639362286971;4.063701263042285;4.171240395170143;3.131868131868132;3.131868131868132;4.063701263042285;4.171240395170143;3.1335898845519514;3.1335898845519514;4.063701263042285;4.171240395170143;3.131868131868132;3.131868131868132;4.063701263042285;4.171240395170143;2.9168959823885525;2.9168959823885525;3.8482682792743264;3.9538714991762767;3.023639362286971;3.023639362286971;3.74037403740374;4.008786381109281;3.023639362286971;3.023639362286971;4.063701263042285;4.171240395170143;2.8618602091359384;2.8618602091359384;3.8482682792743264;3.9538714991762767;2.8618602091359384;2.8618602091359384;3.8482682792743264;3.9538714991762767;2.8618602091359384;2.8618602091359384;3.8482682792743264;3.9538714991762767;3.3516483516483517;3.3516483516483517;4.061470911086718;3.9032435404068173;3.3516483516483517;3.3516483516483517;4.061470911086718;3.9032435404068173;3.3516483516483517;3.3516483516483517;4.061470911086718;3.9032435404068173;3.3516483516483517;3.3516483516483517;4.061470911086718;3.9032435404068173
Expanded all sources;9.347826086956522;9.288430200977729;3.1903190319031904;3.1903190319031904;4.438356164383562;4.061470911086718;3.4634414513468936;3.4634414513468936;4.438356164383562;4.063701263042285;3.1868131868131866;3.3479692645444565;4.383561643835616;4.168952276467362;2.9670329670329667;2.9670329670329667;4.383561643835616;4.168952276467362;2.9670329670329667;2.9670329670329667;4.383561643835616;4.168952276467362;2.9670329670329667;2.9670329670329667;4.383561643835616;4.168952276467362;3.6124794745484397;3.344298245614035;4.276315789473684;4.116355653128431;2.973568281938326;2.973568281938326;4.438356164383562;4.061470911086718;3.1833150384193196;3.1833150384193196;4.383561643835616;4.168952276467362;3.6124794745484397;3.344298245614035;4.276315789473684;4.116355653128431;3.6124794745484397;3.344298245614035;4.276315789473684;4.116355653128431;3.6124794745484397;3.344298245614035;4.276315789473684;4.116355653128431;2.915291529152915;2.915291529152915;3.9582188015393074;4.116355653128431;2.915291529152915;2.915291529152915;3.9582188015393074;4.116355653128431;2.915291529152915;2.915291529152915;3.9582188015393074;4.116355653128431;2.915291529152915;2.915291529152915;3.9582188015393074;4.116355653128431
All sources;10.0;9.531590413943356;2.1535063500828273;2.1535063500828273;3.5222894881673086;3.528114663726571;2.53723110865968;2.53723110865968;3.5222894881673086;3.528114663726571;2.1006080707573247;2.1006080707573247;3.577325261419923;3.6383682469680267;2.1006080707573247;2.1006080707573247;3.577325261419923;3.6383682469680267;2.155887230514096;2.155887230514096;3.577325261419923;3.6383682469680267;2.1006080707573247;2.1006080707573247;3.577325261419923;3.6383682469680267;2.4282560706401766;2.4282560706401766;3.5222894881673086;3.583241455347299;2.0441988950276246;2.0441988950276246;3.5222894881673086;3.528114663726571;2.1006080707573247;2.1006080707573247;3.577325261419923;3.6383682469680267;2.262693156732892;2.262693156732892;3.5222894881673086;3.583241455347299;2.262693156732892;2.262693156732892;3.5222894881673086;3.583241455347299;2.262693156732892;2.262693156732892;3.5222894881673086;3.583241455347299;2.70568746548868;2.759381898454746;3.5222894881673086;3.4729878721058434;2.70568746548868;2.759381898454746;3.5222894881673086;3.4729878721058434;2.70568746548868;2.759381898454746;3.5222894881673086;3.4729878721058434;2.70568746548868;2.759381898454746;3.5222894881673086;3.4729878721058434
