Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;2.388434946574481;2.5109855618330195;1.2714558169103625;1.2714558169103625;1.5842839036755387;1.6466117796073463;1.2086513994910941;1.2086513994910941;1.5842839036755387;1.5218769816106532;1.2714558169103625;1.2714558169103625;1.5842839036755387;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3968253968253967;1.3968253968253967;1.5218769816106532;1.5218769816106532;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.6466117796073463;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3968253968253967;1.3968253968253967;1.5218769816106532;1.5218769816106532;1.3968253968253967;1.3968253968253967;1.5218769816106532;1.5218769816106532;1.3968253968253967;1.3968253968253967;1.5218769816106532;1.5218769816106532;0.8934269304403318;0.8934269304403318;1.6466117796073463;1.5842839036755387;0.8934269304403318;0.8934269304403318;1.6466117796073463;1.5842839036755387;0.8934269304403318;0.8934269304403318;1.6466117796073463;1.5842839036755387;0.8934269304403318;0.8934269304403318;1.6466117796073463;1.5842839036755387
Weather and new source;2.388434946574481;2.5721455457967375;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.4593908629441625;1.2086513994910941;1.2086513994910941;1.4593908629441625;1.3968253968253967;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.3341804320203303;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.3341804320203303;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.3968253968253967;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.3341804320203303;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.3968253968253967;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.5218769816106532;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.3341804320203303;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.3968253968253967;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.3968253968253967;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.3968253968253967;0.9566326530612245;0.9566326530612245;1.3968253968253967;1.3968253968253967;0.9566326530612245;0.9566326530612245;1.3968253968253967;1.3968253968253967;0.9566326530612245;0.9566326530612245;1.3968253968253967;1.3968253968253967;0.9566326530612245;0.9566326530612245;1.3968253968253967;1.3968253968253967
Expanded weather and new source;2.5109855618330195;2.449748743718593;1.3968253968253967;1.3968253968253967;1.5842839036755387;1.5842839036755387;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.5218769816106532;1.2714558169103625;1.2714558169103625;1.5218769816106532;1.5842839036755387;1.2714558169103625;1.2714558169103625;1.5218769816106532;1.5842839036755387;1.2714558169103625;1.2714558169103625;1.5218769816106532;1.5842839036755387;1.2714558169103625;1.2714558169103625;1.5218769816106532;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3968253968253967;1.3968253968253967;1.5842839036755387;1.5842839036755387;1.2714558169103625;1.2714558169103625;1.5218769816106532;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.3341804320203303;1.3341804320203303;1.5842839036755387;1.5842839036755387;1.5218769816106532;1.5218769816106532;1.7088607594936709;1.6466117796073463;1.5218769816106532;1.5218769816106532;1.7088607594936709;1.6466117796073463;1.5218769816106532;1.5218769816106532;1.7088607594936709;1.6466117796073463;1.5218769816106532;1.5218769816106532;1.7088607594936709;1.6466117796073463
Expanded weather;2.2655758338577723;2.6942355889724308;1.2714558169103625;1.2714558169103625;1.5842839036755387;1.9570707070707072;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.9570707070707072;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.9570707070707072;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.9570707070707072;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.9570707070707072;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.9570707070707072;1.2086513994910941;1.2086513994910941;1.5842839036755387;1.9570707070707072;1.2714558169103625;1.2714558169103625;1.5842839036755387;1.9570707070707072;1.1457670273711011;1.1457670273711011;1.5218769816106532;1.9570707070707072;1.2086513994910941;1.2086513994910941;1.5842839036755387;1.9570707070707072;1.2086513994910941;1.2086513994910941;1.5842839036755387;1.9570707070707072;1.2086513994910941;1.2086513994910941;1.5842839036755387;1.9570707070707072;0.9566326530612245;0.9566326530612245;1.5218769816106532;1.7710309930423784;0.9566326530612245;0.9566326530612245;1.5218769816106532;1.7710309930423784;0.9566326530612245;0.9566326530612245;1.5218769816106532;1.7710309930423784;0.9566326530612245;0.9566326530612245;1.5218769816106532;1.7710309930423784
Weather, new source and alka;2.6942355889724308;2.8767979987492183;1.2086513994910941;1.2086513994910941;1.7088607594936709;1.7710309930423784;1.1457670273711011;1.1457670273711011;1.7088607594936709;1.6466117796073463;1.0197578075207139;1.0197578075207139;1.6466117796073463;1.6466117796073463;1.0197578075207139;1.0197578075207139;1.6466117796073463;1.6466117796073463;1.0197578075207139;1.0197578075207139;1.6466117796073463;1.6466117796073463;1.0197578075207139;1.0197578075207139;1.6466117796073463;1.6466117796073463;1.0197578075207139;1.0828025477707006;1.7088607594936709;1.6466117796073463;1.0828025477707006;1.1457670273711011;1.7088607594936709;1.7710309930423784;1.0197578075207139;1.0197578075207139;1.6466117796073463;1.6466117796073463;1.1457670273711011;1.2086513994910941;1.7088607594936709;1.6466117796073463;1.1457670273711011;1.2086513994910941;1.7088607594936709;1.6466117796073463;1.1457670273711011;1.2086513994910941;1.7088607594936709;1.6466117796073463;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.6466117796073463;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.6466117796073463;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.6466117796073463;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.6466117796073463
Expanded weather, new source and alka;2.3270440251572326;2.5109855618330195;1.3968253968253967;1.3968253968253967;1.5218769816106532;1.7710309930423784;1.2086513994910941;1.2086513994910941;1.5218769816106532;1.7088607594936709;1.2086513994910941;1.2086513994910941;1.4593908629441625;1.7088607594936709;1.2086513994910941;1.2086513994910941;1.4593908629441625;1.7088607594936709;1.2086513994910941;1.2086513994910941;1.4593908629441625;1.7088607594936709;1.2086513994910941;1.2086513994910941;1.4593908629441625;1.7088607594936709;1.3341804320203303;1.3341804320203303;1.4593908629441625;1.7710309930423784;1.3968253968253967;1.3968253968253967;1.5218769816106532;1.7710309930423784;1.2086513994910941;1.2086513994910941;1.4593908629441625;1.7088607594936709;1.3341804320203303;1.3341804320203303;1.4593908629441625;1.7710309930423784;1.3341804320203303;1.3341804320203303;1.4593908629441625;1.7710309930423784;1.3341804320203303;1.3341804320203303;1.4593908629441625;1.7710309930423784;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.7088607594936709;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.7088607594936709;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.7088607594936709;1.2714558169103625;1.2714558169103625;1.4593908629441625;1.7088607594936709
Expanded weather and alka;2.018927444794953;2.142407057340895;1.1457670273711011;1.1457670273711011;1.7710309930423784;1.8331226295828067;1.3968253968253967;1.3968253968253967;1.7088607594936709;1.8331226295828067;1.3341804320203303;1.3341804320203303;1.7088607594936709;1.8331226295828067;1.3341804320203303;1.3341804320203303;1.7088607594936709;1.8331226295828067;1.3968253968253967;1.3968253968253967;1.7088607594936709;1.8331226295828067;1.3341804320203303;1.3341804320203303;1.7088607594936709;1.8331226295828067;1.0828025477707006;1.0828025477707006;1.7710309930423784;1.8331226295828067;1.0828025477707006;1.0828025477707006;1.7710309930423784;1.8331226295828067;1.3968253968253967;1.3968253968253967;1.7088607594936709;1.8331226295828067;1.2086513994910941;1.2086513994910941;1.7710309930423784;1.8331226295828067;1.2086513994910941;1.2086513994910941;1.7710309930423784;1.8331226295828067;1.2086513994910941;1.2086513994910941;1.7710309930423784;1.8331226295828067;1.3341804320203303;1.3341804320203303;1.6466117796073463;1.7710309930423784;1.3341804320203303;1.3341804320203303;1.6466117796073463;1.7710309930423784;1.3341804320203303;1.3341804320203303;1.6466117796073463;1.7710309930423784;1.3341804320203303;1.3341804320203303;1.6466117796073463;1.7710309930423784
Weather and alka;2.080706179066835;2.142407057340895;0.8934269304403318;0.8934269304403318;1.7710309930423784;1.5842839036755387;1.0197578075207139;1.0197578075207139;1.5842839036755387;1.4593908629441625;0.9566326530612245;0.9566326530612245;1.5218769816106532;1.3968253968253967;1.0828025477707006;1.0828025477707006;1.5218769816106532;1.3968253968253967;1.0828025477707006;1.0828025477707006;1.5218769816106532;1.3968253968253967;1.0828025477707006;1.0828025477707006;1.5218769816106532;1.3968253968253967;1.0197578075207139;1.0197578075207139;1.7088607594936709;1.4593908629441625;1.0197578075207139;1.0197578075207139;1.7710309930423784;1.5842839036755387;1.0828025477707006;1.0828025477707006;1.5218769816106532;1.3968253968253967;1.0197578075207139;1.0197578075207139;1.7088607594936709;1.4593908629441625;1.0197578075207139;1.0197578075207139;1.7088607594936709;1.4593908629441625;1.0197578075207139;1.0197578075207139;1.7088607594936709;1.4593908629441625;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.4593908629441625;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.4593908629441625;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.4593908629441625;0.9566326530612245;0.9566326530612245;1.7088607594936709;1.4593908629441625
Expanded all sources;1.8331226295828067;2.204030226700252;1.2086513994910941;1.2086513994910941;1.3968253968253967;1.2714558169103625;1.3341804320203303;1.3341804320203303;1.3341804320203303;1.2086513994910941;1.2714558169103625;1.2086513994910941;1.3341804320203303;1.2086513994910941;1.2714558169103625;1.2714558169103625;1.3341804320203303;1.2086513994910941;1.2714558169103625;1.2714558169103625;1.3341804320203303;1.2086513994910941;1.2714558169103625;1.2714558169103625;1.3341804320203303;1.2086513994910941;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.2086513994910941;1.2086513994910941;1.2086513994910941;1.3968253968253967;1.2714558169103625;1.2086513994910941;1.2086513994910941;1.3341804320203303;1.2086513994910941;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.2086513994910941;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.2086513994910941;1.1457670273711011;1.1457670273711011;1.3968253968253967;1.2086513994910941;0.8934269304403318;0.8934269304403318;1.3968253968253967;1.3341804320203303;0.8934269304403318;0.8934269304403318;1.3968253968253967;1.3341804320203303;0.8934269304403318;0.8934269304403318;1.3968253968253967;1.3341804320203303;0.8934269304403318;0.8934269304403318;1.3968253968253967;1.3341804320203303
All sources;2.080706179066835;2.204030226700252;1.3341804320203303;1.3341804320203303;1.3341804320203303;1.0828025477707006;1.2086513994910941;1.2086513994910941;1.3341804320203303;1.0828025477707006;1.2086513994910941;1.2086513994910941;1.3341804320203303;1.0828025477707006;1.3341804320203303;1.3341804320203303;1.3341804320203303;1.0828025477707006;1.2714558169103625;1.2714558169103625;1.3341804320203303;1.0828025477707006;1.3341804320203303;1.3341804320203303;1.3341804320203303;1.0828025477707006;1.5218769816106532;1.5218769816106532;1.3341804320203303;1.0828025477707006;1.3968253968253967;1.3968253968253967;1.3341804320203303;1.0828025477707006;1.3341804320203303;1.3341804320203303;1.3341804320203303;1.0828025477707006;1.3968253968253967;1.3968253968253967;1.3341804320203303;1.0828025477707006;1.3968253968253967;1.3968253968253967;1.3341804320203303;1.0828025477707006;1.3968253968253967;1.3968253968253967;1.3341804320203303;1.0828025477707006;1.0828025477707006;1.0828025477707006;1.2714558169103625;1.0828025477707006;1.0828025477707006;1.0828025477707006;1.2714558169103625;1.0828025477707006;1.0828025477707006;1.0828025477707006;1.2714558169103625;1.0828025477707006;1.0828025477707006;1.0828025477707006;1.2714558169103625;1.0828025477707006
