Acoustic model;Wikipedia;Wikipedia pruned;Weather with test;Weather with test pruned;Wikipedia and weather with test;Wikipedia and weather with test pruned;Weather original;Weather original pruned;Wikipedia and weather original;Wikipedia and weather original pruned;New source original;New source original pruned;Wikipedia, weather and new source original;Wikipedia, weather and new source original pruned;Alka with test;Alka with test pruned;Wikipedia, weather, new source and alka with test;Wikipedia, weather, new source and alka with test pruned;Weather;Weather pruned;Wikipedia and weather;Wikipedia and weather pruned;Weather and new source;Weather and new source pruned;Wikipedia, weather and new source;Wikipedia, weather and new source pruned;Expanded weather and new source;Expanded weather and new source pruned;Wikipedia, expanded weather and new source;Wikipedia, expanded weather and new source pruned;Expanded weather;Expanded weather pruned;Wikipedia and expanded weather;Wikipedia and expanded weather pruned;Weather, new source and alka;Weather, new source and alka pruned;Wikipedia, weather, new source and alka;Wikipedia, weather, new source and alka pruned;Expanded weather, new source and alka;Expanded weather, new source and alka pruned;Wikipedia, expanded weather, new source and alka;Wikipedia, expanded weather, new source and alka pruned;Expanded weather and alka;Expanded weather and alka pruned;Wikipedia, expanded weather and alka;Wikipedia, expanded weather and alka pruned;Weather and alka;Weather and alka pruned;Wikipedia and alka;Wikipedia and alka pruned;Expanded all sources;Expanded all sources pruned;Wikipedia and expanded all sources;Wikipedia and expanded all sources pruned;All sources;All sources pruned;Wikipedia and all sources;Wikipedia and all sources pruned;Expanded no TV;Expanded no TV pruned;Wikipedia and expanded no TV;Wikipedia and expanded no TV pruned;No TV;No TV pruned;Wikipedia and no TV;Wikipedia and no TV pruned
Weather;6.473915776241358;6.52856246076585;3.178639542275906;3.178639542275906;3.802281368821293;4.179860671310956;3.1806615776081424;3.1806615776081424;3.802281368821293;3.804692454026633;3.115066751430388;3.115066751430388;3.802281368821293;3.929024081115336;3.176620076238882;3.176620076238882;3.802281368821293;3.929024081115336;3.176620076238882;3.176620076238882;3.802281368821293;3.929024081115336;3.176620076238882;3.176620076238882;3.802281368821293;3.929024081115336;3.301587301587302;3.301587301587302;3.741280913126189;3.9315155358275207;3.303684879288437;3.303684879288437;3.802281368821293;4.179860671310956;3.176620076238882;3.176620076238882;3.802281368821293;3.929024081115336;3.301587301587302;3.301587301587302;3.741280913126189;3.9315155358275207;3.301587301587302;3.301587301587302;3.741280913126189;3.9315155358275207;3.301587301587302;3.301587301587302;3.741280913126189;3.9315155358275207;2.744097000638162;2.744097000638162;4.053198226725776;4.182509505703422;2.744097000638162;2.744097000638162;4.053198226725776;4.182509505703422;2.744097000638162;2.744097000638162;4.053198226725776;4.182509505703422;2.744097000638162;2.744097000638162;4.053198226725776;4.182509505703422
Weather and new source;6.285355122564424;6.336260978670012;2.860775588048315;2.860775588048315;3.5532994923857872;3.807106598984772;2.735368956743003;2.735368956743003;3.6802030456852792;3.7460317460317456;2.609802673456397;2.609802673456397;3.5555555555555554;3.6848792884371027;2.609802673456397;2.609802673456397;3.5555555555555554;3.6848792884371027;2.609802673456397;2.609802673456397;3.5555555555555554;3.8095238095238098;2.609802673456397;2.609802673456397;3.5555555555555554;3.6848792884371027;2.860775588048315;2.860775588048315;3.5532994923857872;3.6825396825396823;2.860775588048315;2.860775588048315;3.5532994923857872;3.868103994927077;2.609802673456397;2.609802673456397;3.5555555555555554;3.6848792884371027;2.860775588048315;2.860775588048315;3.5532994923857872;3.6825396825396823;2.860775588048315;2.860775588048315;3.5532994923857872;3.6825396825396823;2.860775588048315;2.860775588048315;3.5532994923857872;3.6825396825396823;2.3596938775510203;2.3596938775510203;3.492063492063492;3.6825396825396823;2.3596938775510203;2.3596938775510203;3.492063492063492;3.6825396825396823;2.3596938775510203;2.3596938775510203;3.492063492063492;3.6825396825396823;2.3596938775510203;2.3596938775510203;3.492063492063492;3.6825396825396823
Expanded weather and new source;6.4030131826742;6.21859296482412;3.1746031746031744;3.1746031746031744;3.929024081115336;3.9923954372623576;2.8007638446849143;2.8007638446849143;3.868103994927077;3.804692454026633;3.115066751430388;3.115066751430388;3.868103994927077;3.8656527249683146;2.9879211697393515;2.9879211697393515;3.868103994927077;3.8656527249683146;2.9879211697393515;2.9879211697393515;3.868103994927077;3.8656527249683146;2.9879211697393515;2.9879211697393515;3.868103994927077;3.8656527249683146;2.9860228716645487;2.9860228716645487;3.929024081115336;3.929024081115336;3.1746031746031744;3.1746031746031744;3.929024081115336;3.9923954372623576;2.9879211697393515;2.9879211697393515;3.868103994927077;3.8656527249683146;3.0495552731893265;3.0495552731893265;3.929024081115336;3.929024081115336;3.0495552731893265;3.0495552731893265;3.929024081115336;3.929024081115336;3.0495552731893265;3.0495552731893265;3.929024081115336;3.929024081115336;3.4242232086239692;3.4242232086239692;4.240506329113924;4.053198226725776;3.4242232086239692;3.4242232086239692;4.240506329113924;4.053198226725776;3.4242232086239692;3.4242232086239692;4.240506329113924;4.053198226725776;3.4242232086239692;3.4242232086239692;4.240506329113924;4.053198226725776
Expanded weather;6.041535556954059;6.704260651629072;3.3693579148124604;3.3693579148124604;4.182509505703422;4.861111111111112;3.0553787396562697;3.0553787396562697;4.185161699429296;4.797979797979798;3.0553787396562697;3.0553787396562697;4.121750158528852;4.797979797979798;3.0553787396562697;3.0553787396562697;4.121750158528852;4.797979797979798;3.0553787396562697;3.0553787396562697;4.121750158528852;4.797979797979798;3.0553787396562697;3.0553787396562697;4.121750158528852;4.797979797979798;3.2442748091603053;3.2442748091603053;4.119138149556401;4.861111111111112;3.3693579148124604;3.3693579148124604;4.182509505703422;4.861111111111112;3.0553787396562697;3.0553787396562697;4.121750158528852;4.797979797979798;3.2442748091603053;3.2442748091603053;4.119138149556401;4.861111111111112;3.2442748091603053;3.2442748091603053;4.119138149556401;4.861111111111112;3.2442748091603053;3.2442748091603053;4.119138149556401;4.861111111111112;2.933673469387755;2.933673469387755;3.9315155358275207;4.554079696394687;2.933673469387755;2.933673469387755;3.9315155358275207;4.554079696394687;2.933673469387755;2.933673469387755;3.9315155358275207;4.554079696394687;2.933673469387755;2.933673469387755;3.9315155358275207;4.554079696394687
Weather, new source and alka;6.954887218045112;7.004377736085053;3.2442748091603053;3.2442748091603053;4.113924050632911;4.364326375711575;2.8644175684277533;2.8644175684277533;4.113924050632911;3.8632045598480054;2.9318036966220524;2.9318036966220524;4.053198226725776;4.053198226725776;2.8680688336520075;2.8680688336520075;4.053198226725776;4.053198226725776;2.8680688336520075;2.8680688336520075;4.053198226725776;4.053198226725776;2.8680688336520075;2.8680688336520075;4.053198226725776;4.053198226725776;2.8680688336520075;2.8662420382165608;4.177215189873418;4.053198226725776;3.0573248407643314;3.0553787396562697;4.113924050632911;4.364326375711575;2.9318036966220524;2.9318036966220524;4.053198226725776;4.053198226725776;2.9917250159134308;2.989821882951654;4.177215189873418;4.053198226725776;2.9917250159134308;2.989821882951654;4.177215189873418;4.053198226725776;2.9917250159134308;2.989821882951654;4.177215189873418;4.053198226725776;2.6785714285714284;2.6785714285714284;4.113924050632911;4.053198226725776;2.6785714285714284;2.6785714285714284;4.113924050632911;4.053198226725776;2.6785714285714284;2.6785714285714284;4.113924050632911;4.053198226725776;2.6785714285714284;2.6785714285714284;4.113924050632911;4.053198226725776
Expanded weather, new source and alka;6.477987421383648;6.654111738857502;3.301587301587302;3.301587301587302;3.804692454026633;4.237824161922834;3.0534351145038165;3.0534351145038165;3.804692454026633;4.177215189873418;3.0534351145038165;3.0534351145038165;3.6802030456852792;4.177215189873418;3.0534351145038165;3.0534351145038165;3.6802030456852792;4.177215189873418;2.989821882951654;2.989821882951654;3.6802030456852792;4.177215189873418;3.0534351145038165;3.0534351145038165;3.6802030456852792;4.177215189873418;3.2401524777636594;3.2401524777636594;3.6802030456852792;4.237824161922834;3.3650793650793656;3.3650793650793656;3.804692454026633;4.237824161922834;3.0534351145038165;3.0534351145038165;3.6802030456852792;4.177215189873418;3.2401524777636594;3.2401524777636594;3.6802030456852792;4.237824161922834;3.2401524777636594;3.2401524777636594;3.6802030456852792;4.237824161922834;3.2401524777636594;3.2401524777636594;3.6802030456852792;4.237824161922834;3.242212333121424;3.242212333121424;3.8705583756345177;4.177215189873418;3.242212333121424;3.242212333121424;3.8705583756345177;4.177215189873418;3.242212333121424;3.242212333121424;3.8705583756345177;4.177215189873418;3.242212333121424;3.242212333121424;3.8705583756345177;4.177215189873418
Expanded weather and alka;5.930599369085174;6.112161310649023;3.2463399108847866;3.2463399108847866;4.427577482605946;4.61441213653603;3.301587301587302;3.301587301587302;4.620253164556963;4.61441213653603;3.303684879288437;3.2401524777636594;4.493670886075949;4.487989886219975;3.2401524777636594;3.176620076238882;4.493670886075949;4.487989886219975;3.2380952380952377;3.2380952380952377;4.493670886075949;4.487989886219975;3.2401524777636594;3.176620076238882;4.493670886075949;4.487989886219975;3.121019108280255;3.121019108280255;4.237824161922834;4.487989886219975;3.0573248407643314;3.0573248407643314;4.427577482605946;4.61441213653603;3.3650793650793656;3.301587301587302;4.493670886075949;4.487989886219975;3.2442748091603053;3.2442748091603053;4.237824161922834;4.487989886219975;3.2442748091603053;3.2442748091603053;4.237824161922834;4.487989886219975;3.2442748091603053;3.2442748091603053;4.237824161922834;4.487989886219975;3.6213468869123253;3.6213468869123253;4.179860671310956;4.554079696394687;3.6213468869123253;3.6213468869123253;4.179860671310956;4.554079696394687;3.6213468869123253;3.6213468869123253;4.179860671310956;4.554079696394687;3.6213468869123253;3.6213468869123253;4.179860671310956;4.554079696394687
Weather and alka;5.926860025220681;6.175173282923756;2.8079132099553283;2.8079132099553283;4.174573055028463;4.245880861850444;2.8680688336520075;2.8680688336520075;3.929024081115336;4.124365482233502;2.8698979591836737;2.8698979591836737;3.9315155358275207;3.9365079365079367;3.0573248407643314;3.0573248407643314;3.9315155358275207;3.9365079365079367;3.0573248407643314;3.0573248407643314;3.9315155358275207;3.9365079365079367;3.0573248407643314;3.0573248407643314;3.9315155358275207;3.9365079365079367;2.9318036966220524;2.9318036966220524;4.177215189873418;3.9974619289340105;2.995538559592097;2.995538559592097;4.174573055028463;4.245880861850444;3.0573248407643314;3.0573248407643314;3.9315155358275207;3.9365079365079367;2.9318036966220524;2.9318036966220524;4.177215189873418;3.9974619289340105;2.9318036966220524;2.9318036966220524;4.177215189873418;3.9974619289340105;2.9318036966220524;2.9318036966220524;4.177215189873418;3.9974619289340105;2.9974489795918364;2.9974489795918364;4.177215189873418;4.060913705583756;2.9974489795918364;2.9974489795918364;4.177215189873418;4.060913705583756;2.9974489795918364;2.9974489795918364;4.177215189873418;4.060913705583756;2.9974489795918364;2.9974489795918364;4.177215189873418;4.060913705583756
Expanded all sources;6.131479140328698;6.926952141057935;3.1806615776081424;3.1806615776081424;4.317460317460318;4.195804195804196;3.2401524777636594;3.2401524777636594;4.256670902160101;4.198473282442748;3.3693579148124604;3.307888040712468;4.256670902160101;4.071246819338422;3.3057851239669422;3.3057851239669422;4.256670902160101;4.071246819338422;3.3057851239669422;3.3057851239669422;4.193138500635324;4.071246819338422;3.3057851239669422;3.3057851239669422;4.256670902160101;4.071246819338422;3.3099936346276255;3.3099936346276255;4.317460317460318;4.134860050890586;3.1806615776081424;3.1806615776081424;4.317460317460318;4.195804195804196;3.2442748091603053;3.2442748091603053;4.256670902160101;4.071246819338422;3.3099936346276255;3.3099936346276255;4.317460317460318;4.134860050890586;3.3099936346276255;3.3099936346276255;4.317460317460318;4.134860050890586;3.3099936346276255;3.3099936346276255;4.317460317460318;4.134860050890586;2.871729419272495;2.871729419272495;4.317460317460318;4.193138500635324;2.871729419272495;2.871729419272495;4.317460317460318;4.193138500635324;2.871729419272495;2.871729419272495;4.317460317460318;4.193138500635324;2.871729419272495;2.871729419272495;4.317460317460318;4.193138500635324
All sources;6.116015132408575;6.234256926952141;3.2401524777636594;3.2401524777636594;3.49428208386277;3.3121019108280256;2.926208651399491;2.926208651399491;3.5578144853875475;3.3121019108280256;2.926208651399491;2.926208651399491;3.5578144853875475;3.3121019108280256;3.1130876747141043;3.1130876747141043;3.5578144853875475;3.3121019108280256;2.9879211697393515;2.9879211697393515;3.5578144853875475;3.3121019108280256;3.1130876747141043;3.1130876747141043;3.5578144853875475;3.3121019108280256;3.487634749524413;3.487634749524413;3.49428208386277;3.3121019108280256;3.1746031746031744;3.1746031746031744;3.49428208386277;3.3121019108280256;3.1130876747141043;3.1130876747141043;3.5578144853875475;3.3121019108280256;3.1746031746031744;3.1746031746031744;3.49428208386277;3.3121019108280256;3.1746031746031744;3.1746031746031744;3.49428208386277;3.3121019108280256;3.1746031746031744;3.1746031746031744;3.49428208386277;3.3121019108280256;3.1847133757961785;3.1847133757961785;3.6236490781945325;3.5031847133757963;3.1847133757961785;3.1847133757961785;3.6236490781945325;3.5031847133757963;3.1847133757961785;3.1847133757961785;3.6236490781945325;3.5031847133757963;3.1847133757961785;3.1847133757961785;3.6236490781945325;3.5031847133757963
Expanded no TV;6.532663316582915;6.3561988672120835;2.928071292170592;2.928071292170592;3.984819734345351;4.237824161922834;3.1190324633991087;3.1190324633991087;3.9240506329113924;4.237824161922834;3.1190324633991087;3.1190324633991087;3.4263959390862944;3.7389100126742716;3.0553787396562697;3.0553787396562697;3.551046290424857;3.7389100126742716;3.492063492063492;3.492063492063492;3.551046290424857;3.7389100126742716;3.0553787396562697;3.0553787396562697;3.551046290424857;3.7389100126742716;2.8662420382165608;2.8662420382165608;3.6121673003802277;3.7389100126742716;2.8644175684277533;2.8644175684277533;3.984819734345351;4.237824161922834;3.0553787396562697;3.0553787396562697;3.551046290424857;3.7389100126742716;2.8662420382165608;2.8662420382165608;3.6121673003802277;3.7389100126742716;2.8662420382165608;2.8662420382165608;3.6121673003802277;3.7389100126742716;2.8662420382165608;2.8662420382165608;3.6121673003802277;3.7389100126742716;2.6181353767560664;2.6181353767560664;3.8632045598480054;3.3057851239669422;2.6181353767560664;2.6181353767560664;3.8632045598480054;3.3057851239669422;2.6181353767560664;2.6181353767560664;3.8632045598480054;3.3057851239669422;2.6181353767560664;2.6181353767560664;3.8632045598480054;3.3057851239669422
No TV;6.0606060606060606;6.25;2.4265644955300125;2.4265644955300125;3.9365079365079367;3.9415130324221233;2.7405991077119185;2.7405991077119185;3.934010152284264;3.9390088945362134;2.676864244741874;2.676864244741874;3.8705583756345177;3.8754764930114356;2.802547770700637;2.802547770700637;3.8705583756345177;3.8754764930114356;2.802547770700637;2.802547770700637;3.8705583756345177;3.8754764930114356;2.802547770700637;2.802547770700637;3.8705583756345177;3.8754764930114356;2.614795918367347;2.614795918367347;3.8095238095238098;3.9390088945362134;2.362707535121328;2.362707535121328;3.9365079365079367;3.9415130324221233;2.802547770700637;2.802547770700637;3.8705583756345177;3.8754764930114356;2.488832163369496;2.488832163369496;3.8095238095238098;3.9390088945362134;2.488832163369496;2.488832163369496;3.8095238095238098;3.9390088945362134;2.488832163369496;2.488832163369496;3.8095238095238098;3.9390088945362134;2.871729419272495;2.871729419272495;4.055766793409378;4.369854338188727;2.871729419272495;2.871729419272495;4.055766793409378;4.369854338188727;2.871729419272495;2.871729419272495;4.055766793409378;4.369854338188727;2.871729419272495;2.871729419272495;4.055766793409378;4.369854338188727
